"Per Pupil Expenditures by Function (District), 2019-20"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Andover School District","=""0010011""","Minor school construction","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Total","$4,504,871",198,1,"$22,752"
"Ansonia School District","=""0020011""","Instruction","$26,562,586",2499,1,"$10,629"
"Ansonia School District","=""0020011""","Support services - students","$1,538,368",2265,2,"$679"
"Ansonia School District","=""0020011""","Support services - instruction","$130,631",2265,2,"$58"
"Ansonia School District","=""0020011""","Support services - general administration","$630,603",2265,2,"$278"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,004,988",2265,2,"$885"
"Ansonia School District","=""0020011""","Central and other support services","$2,226,943",2265,2,"$983"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$3,672,173",2265,2,"$1,621"
"Ansonia School District","=""0020011""","Student transportation services","$2,260,005",2666,3,"$848"
"Ansonia School District","=""0020011""","Food services","$0",2265,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$232,134",2265,2,"$102"
"Ansonia School District","=""0020011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Total","$39,258,430",2499,1,"$15,710"
"Area Cooperative Educational Services","=""2440014""","Instruction","$50,224,419",2137,1,"$23,502"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$6,787,731",2137,2,"$3,176"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$1,484,243",2137,2,"$695"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$3,787,887",2137,2,"$1,773"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$2,666,615",2137,2,"$1,248"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$3,272,998",2137,2,"$1,532"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$6,010,828",2137,2,"$2,813"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$4,608,333",1912,3,"$2,410"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",2137,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",2137,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Total","$78,843,053",2137,1,"$36,894"
"Ashford School District","=""0030011""","Instruction","$4,915,682",398,1,"$12,351"
"Ashford School District","=""0030011""","Support services - students","$528,005",390,2,"$1,354"
"Ashford School District","=""0030011""","Support services - instruction","$397,655",390,2,"$1,020"
"Ashford School District","=""0030011""","Support services - general administration","$190,092",390,2,"$487"
"Ashford School District","=""0030011""","Support services - school based administration","$508,297",390,2,"$1,303"
"Ashford School District","=""0030011""","Central and other support services","$466,281",390,2,"$1,196"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$610,295",390,2,"$1,565"
"Ashford School District","=""0030011""","Student transportation services","$476,211",390,3,"$1,221"
"Ashford School District","=""0030011""","Food services","$28,166",390,2,"$72"
"Ashford School District","=""0030011""","Enterprise operations","$0",390,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ashford School District","=""0030011""","Total","$8,120,685",398,1,"$20,404"
"Avon School District","=""0040011""","Instruction","$38,982,942",3266,1,"$11,936"
"Avon School District","=""0040011""","Support services - students","$4,105,917",3162,2,"$1,299"
"Avon School District","=""0040011""","Support services - instruction","$867,284",3162,2,"$274"
"Avon School District","=""0040011""","Support services - general administration","$1,252,304",3162,2,"$396"
"Avon School District","=""0040011""","Support services - school based administration","$2,877,973",3162,2,"$910"
"Avon School District","=""0040011""","Central and other support services","$2,757,087",3162,2,"$872"
"Avon School District","=""0040011""","Operation and maintenance of plant","$4,807,108",3162,2,"$1,520"
"Avon School District","=""0040011""","Student transportation services","$2,804,106",3048,3,"$920"
"Avon School District","=""0040011""","Food services","$0",3162,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$862,414",3162,2,"$273"
"Avon School District","=""0040011""","Minor school construction","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Total","$59,317,135",3266,1,"$18,162"
"Barkhamsted School District","=""0050011""","Instruction","$2,612,575",225,1,"$11,611"
"Barkhamsted School District","=""0050011""","Support services - students","$135,108",218,2,"$620"
"Barkhamsted School District","=""0050011""","Support services - instruction","$279,050",218,2,"$1,280"
"Barkhamsted School District","=""0050011""","Support services - general administration","$203,198",218,2,"$932"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$258,727",218,2,"$1,187"
"Barkhamsted School District","=""0050011""","Central and other support services","$87,983",218,2,"$404"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$374,378",218,2,"$1,717"
"Barkhamsted School District","=""0050011""","Student transportation services","$282,129",198,3,"$1,425"
"Barkhamsted School District","=""0050011""","Food services","$16,320",218,2,"$75"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",218,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Total","$4,249,468",225,1,"$18,887"
"Berlin School District","=""0070011""","Instruction","$31,577,671",2848,1,"$11,088"
"Berlin School District","=""0070011""","Support services - students","$5,114,964",2735,2,"$1,870"
"Berlin School District","=""0070011""","Support services - instruction","$1,367,639",2735,2,"$500"
"Berlin School District","=""0070011""","Support services - general administration","$1,282,616",2735,2,"$469"
"Berlin School District","=""0070011""","Support services - school based administration","$2,339,784",2735,2,"$855"
"Berlin School District","=""0070011""","Central and other support services","$4,132,628",2735,2,"$1,511"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$2,281,116",2735,2,"$834"
"Berlin School District","=""0070011""","Student transportation services","$2,872,507",2278,3,"$1,261"
"Berlin School District","=""0070011""","Food services","$61,311",2735,2,"$22"
"Berlin School District","=""0070011""","Enterprise operations","$723,835",2735,2,"$265"
"Berlin School District","=""0070011""","Minor school construction","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Total","$51,754,070",2848,1,"$18,172"
"Bethany School District","=""0080011""","Instruction","$4,500,653",377,1,"$11,938"
"Bethany School District","=""0080011""","Support services - students","$189,005",369,2,"$512"
"Bethany School District","=""0080011""","Support services - instruction","$257,294",369,2,"$697"
"Bethany School District","=""0080011""","Support services - general administration","$729,597",369,2,"$1,977"
"Bethany School District","=""0080011""","Support services - school based administration","$295,523",369,2,"$801"
"Bethany School District","=""0080011""","Central and other support services","$254",369,2,"$1"
"Bethany School District","=""0080011""","Operation and maintenance of plant","$806,898",369,2,"$2,187"
"Bethany School District","=""0080011""","Student transportation services","$418,432",323,3,"$1,295"
"Bethany School District","=""0080011""","Food services","$0",369,2,"$0"
"Bethany School District","=""0080011""","Enterprise operations","$15,054",369,2,"$41"
"Bethany School District","=""0080011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethany School District","=""0080011""","Total","$7,212,710",377,1,"$19,132"
"Bethel School District","=""0090011""","Instruction","$31,752,590",3188,1,"$9,960"
"Bethel School District","=""0090011""","Support services - students","$3,574,414",3139,2,"$1,139"
"Bethel School District","=""0090011""","Support services - instruction","$3,768,302",3139,2,"$1,200"
"Bethel School District","=""0090011""","Support services - general administration","$544,344",3139,2,"$173"
"Bethel School District","=""0090011""","Support services - school based administration","$2,584,587",3139,2,"$823"
"Bethel School District","=""0090011""","Central and other support services","$2,305,585",3139,2,"$734"
"Bethel School District","=""0090011""","Operation and maintenance of plant","$3,970,273",3139,2,"$1,265"
"Bethel School District","=""0090011""","Student transportation services","$2,406,386",3210,3,"$750"
"Bethel School District","=""0090011""","Food services","$0",3139,2,"$0"
"Bethel School District","=""0090011""","Enterprise operations","$0",3139,2,"$0"
"Bethel School District","=""0090011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Total","$50,906,480",3188,1,"$15,968"
"Bloomfield School District","=""0110011""","Instruction","$32,266,163",2722,1,"$11,854"
"Bloomfield School District","=""0110011""","Support services - students","$3,463,006",2193,2,"$1,579"
"Bloomfield School District","=""0110011""","Support services - instruction","$891,346",2193,2,"$406"
"Bloomfield School District","=""0110011""","Support services - general administration","$2,367,003",2193,2,"$1,079"
"Bloomfield School District","=""0110011""","Support services - school based administration","$3,503,842",2193,2,"$1,598"
"Bloomfield School District","=""0110011""","Central and other support services","$2,735,550",2193,2,"$1,247"
"Bloomfield School District","=""0110011""","Operation and maintenance of plant","$5,200,494",2193,2,"$2,371"
"Bloomfield School District","=""0110011""","Student transportation services","$3,174,423",1921,3,"$1,652"
"Bloomfield School District","=""0110011""","Food services","$1,687",2193,2,"$1"
"Bloomfield School District","=""0110011""","Enterprise operations","$540,522",2193,2,"$246"
"Bloomfield School District","=""0110011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Total","$54,144,036",2722,1,"$19,891"
"Bolton School District","=""0120011""","Instruction","$8,778,833",798,1,"$11,001"
"Bolton School District","=""0120011""","Support services - students","$973,790",774,2,"$1,258"
"Bolton School District","=""0120011""","Support services - instruction","$619,067",774,2,"$800"
"Bolton School District","=""0120011""","Support services - general administration","$574,994",774,2,"$743"
"Bolton School District","=""0120011""","Support services - school based administration","$1,235,036",774,2,"$1,596"
"Bolton School District","=""0120011""","Central and other support services","$712,897",774,2,"$921"
"Bolton School District","=""0120011""","Operation and maintenance of plant","$1,278,104",774,2,"$1,651"
"Bolton School District","=""0120011""","Student transportation services","$545,457",672,3,"$812"
"Bolton School District","=""0120011""","Food services","$0",774,2,"$0"
"Bolton School District","=""0120011""","Enterprise operations","$192,051",774,2,"$248"
"Bolton School District","=""0120011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bolton School District","=""0120011""","Total","$14,910,228",798,1,"$18,684"
"Booker T. Washington Academy District","=""2950013""","Instruction","$2,970,949",420,1,"$7,074"
"Booker T. Washington Academy District","=""2950013""","Support services - students","$349,231",420,2,"$832"
"Booker T. Washington Academy District","=""2950013""","Support services - instruction","$424,837",420,2,"$1,012"
"Booker T. Washington Academy District","=""2950013""","Support services - general administration","$0",420,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Support services - school based administration","$772,730",420,2,"$1,840"
"Booker T. Washington Academy District","=""2950013""","Central and other support services","$0",420,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Operation and maintenance of plant","$936,568",420,2,"$2,230"
"Booker T. Washington Academy District","=""2950013""","Student transportation services","$43,882",210,3,"$209"
"Booker T. Washington Academy District","=""2950013""","Food services","$0",420,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Enterprise operations","$0",420,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Minor school construction","N/A","N/A","N/A","N/A"
"Booker T. Washington Academy District","=""2950013""","Total","$5,498,197",420,1,"$13,091"
"Bozrah School District","=""0130011""","Instruction","$3,929,044",271,1,"$14,498"
"Bozrah School District","=""0130011""","Support services - students","$467,720",185,2,"$2,528"
"Bozrah School District","=""0130011""","Support services - instruction","$50,271",185,2,"$272"
"Bozrah School District","=""0130011""","Support services - general administration","$291,808",185,2,"$1,577"
"Bozrah School District","=""0130011""","Support services - school based administration","$212,934",185,2,"$1,151"
"Bozrah School District","=""0130011""","Central and other support services","$139,365",185,2,"$753"
"Bozrah School District","=""0130011""","Operation and maintenance of plant","$499,428",185,2,"$2,700"
"Bozrah School District","=""0130011""","Student transportation services","$323,426",251,3,"$1,289"
"Bozrah School District","=""0130011""","Food services","$43,031",185,2,"$233"
"Bozrah School District","=""0130011""","Enterprise operations","$15,532",185,2,"$84"
"Bozrah School District","=""0130011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bozrah School District","=""0130011""","Total","$5,972,559",271,1,"$22,039"
"Branford School District","=""0140011""","Instruction","$33,209,480",2878,1,"$11,539"
"Branford School District","=""0140011""","Support services - students","$5,140,674",2792,2,"$1,841"
"Branford School District","=""0140011""","Support services - instruction","$5,257,560",2792,2,"$1,883"
"Branford School District","=""0140011""","Support services - general administration","$1,879,813",2792,2,"$673"
"Branford School District","=""0140011""","Support services - school based administration","$2,786,080",2792,2,"$998"
"Branford School District","=""0140011""","Central and other support services","$1,890,246",2792,2,"$677"
"Branford School District","=""0140011""","Operation and maintenance of plant","$5,297,229",2792,2,"$1,897"
"Branford School District","=""0140011""","Student transportation services","$2,604,525",2843,3,"$916"
"Branford School District","=""0140011""","Food services","$0",2792,2,"$0"
"Branford School District","=""0140011""","Enterprise operations","$838,707",2792,2,"$300"
"Branford School District","=""0140011""","Minor school construction","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Total","$58,904,314",2878,1,"$20,467"
"Brass City Charter School District","=""2900013""","Instruction","$2,474,288",326,1,"$7,590"
"Brass City Charter School District","=""2900013""","Support services - students","$311,811",326,2,"$956"
"Brass City Charter School District","=""2900013""","Support services - instruction","$135,380",326,2,"$415"
"Brass City Charter School District","=""2900013""","Support services - general administration","$190,916",326,2,"$586"
"Brass City Charter School District","=""2900013""","Support services - school based administration","$221,242",326,2,"$679"
"Brass City Charter School District","=""2900013""","Central and other support services","$162,183",326,2,"$497"
"Brass City Charter School District","=""2900013""","Operation and maintenance of plant","$408,605",326,2,"$1,253"
"Brass City Charter School District","=""2900013""","Student transportation services","$302,412",326,3,"$928"
"Brass City Charter School District","=""2900013""","Food services","$0",326,2,"$0"
"Brass City Charter School District","=""2900013""","Enterprise operations","$0",326,2,"$0"
"Brass City Charter School District","=""2900013""","Minor school construction","N/A","N/A","N/A","N/A"
"Brass City Charter School District","=""2900013""","Total","$4,206,837",326,1,"$12,904"
"Bridgeport School District","=""0150011""","Instruction","$206,589,172",21230,1,"$9,731"
"Bridgeport School District","=""0150011""","Support services - students","$17,560,133",20487,2,"$857"
"Bridgeport School District","=""0150011""","Support services - instruction","$5,487,965",20487,2,"$268"
"Bridgeport School District","=""0150011""","Support services - general administration","$1,575,578",20487,2,"$77"
"Bridgeport School District","=""0150011""","Support services - school based administration","$16,585,752",20487,2,"$810"
"Bridgeport School District","=""0150011""","Central and other support services","$14,793,958",20487,2,"$722"
"Bridgeport School District","=""0150011""","Operation and maintenance of plant","$29,217,380",20487,2,"$1,426"
"Bridgeport School District","=""0150011""","Student transportation services","$19,859,430",12454,3,"$1,595"
"Bridgeport School District","=""0150011""","Food services","$0",20487,2,"$0"
"Bridgeport School District","=""0150011""","Enterprise operations","$801,092",20487,2,"$39"
"Bridgeport School District","=""0150011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Total","$312,470,461",21230,1,"$14,718"
"Bristol School District","=""0170011""","Instruction","$85,659,882",8323,1,"$10,292"
"Bristol School District","=""0170011""","Support services - students","$5,977,312",7861,2,"$760"
"Bristol School District","=""0170011""","Support services - instruction","$5,294,024",7861,2,"$673"
"Bristol School District","=""0170011""","Support services - general administration","$2,048,078",7861,2,"$261"
"Bristol School District","=""0170011""","Support services - school based administration","$7,742,707",7861,2,"$985"
"Bristol School District","=""0170011""","Central and other support services","$5,353,642",7861,2,"$681"
"Bristol School District","=""0170011""","Operation and maintenance of plant","$10,359,232",7861,2,"$1,318"
"Bristol School District","=""0170011""","Student transportation services","$7,720,275",4366,3,"$1,768"
"Bristol School District","=""0170011""","Food services","$420,000",7861,2,"$53"
"Bristol School District","=""0170011""","Enterprise operations","$2,062,630",7861,2,"$262"
"Bristol School District","=""0170011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Total","$132,637,782",8323,1,"$15,936"
"Brookfield School District","=""0180011""","Instruction","$28,161,637",2685,1,"$10,489"
"Brookfield School District","=""0180011""","Support services - students","$3,411,258",2609,2,"$1,307"
"Brookfield School District","=""0180011""","Support services - instruction","$2,342,544",2609,2,"$898"
"Brookfield School District","=""0180011""","Support services - general administration","$1,304,440",2609,2,"$500"
"Brookfield School District","=""0180011""","Support services - school based administration","$2,811,584",2609,2,"$1,078"
"Brookfield School District","=""0180011""","Central and other support services","$1,567,571",2609,2,"$601"
"Brookfield School District","=""0180011""","Operation and maintenance of plant","$2,625,641",2609,2,"$1,006"
"Brookfield School District","=""0180011""","Student transportation services","$2,740,888",2653,3,"$1,033"
"Brookfield School District","=""0180011""","Food services","$0",2609,2,"$0"
"Brookfield School District","=""0180011""","Enterprise operations","$665,448",2609,2,"$255"
"Brookfield School District","=""0180011""","Minor school construction","N/A","N/A","N/A","N/A"
"Brookfield School District","=""0180011""","Total","$45,631,010",2685,1,"$16,995"
"Brooklyn School District","=""0190011""","Instruction","$14,761,713",1286,1,"$11,479"
"Brooklyn School District","=""0190011""","Support services - students","$627,051",903,2,"$694"
"Brooklyn School District","=""0190011""","Support services - instruction","$678,591",903,2,"$751"
"Brooklyn School District","=""0190011""","Support services - general administration","$720,788",903,2,"$798"
"Brooklyn School District","=""0190011""","Support services - school based administration","$747,860",903,2,"$828"
"Brooklyn School District","=""0190011""","Central and other support services","$376,559",903,2,"$417"
"Brooklyn School District","=""0190011""","Operation and maintenance of plant","$931,258",903,2,"$1,031"
"Brooklyn School District","=""0190011""","Student transportation services","$1,154,128",1346,3,"$857"
"Brooklyn School District","=""0190011""","Food services","$21,698",903,2,"$24"
"Brooklyn School District","=""0190011""","Enterprise operations","$0",903,2,"$0"
"Brooklyn School District","=""0190011""","Minor school construction","N/A","N/A","N/A","N/A"
"Brooklyn School District","=""0190011""","Total","$20,019,647",1286,1,"$15,567"
"Canaan School District","=""0210011""","Instruction","$1,467,041",69,1,"$21,261"
"Canaan School District","=""0210011""","Support services - students","$87,267",67,2,"$1,302"
"Canaan School District","=""0210011""","Support services - instruction","$83,858",67,2,"$1,252"
"Canaan School District","=""0210011""","Support services - general administration","$108,261",67,2,"$1,616"
"Canaan School District","=""0210011""","Support services - school based administration","$214,445",67,2,"$3,201"
"Canaan School District","=""0210011""","Central and other support services","$0",67,2,"$0"
"Canaan School District","=""0210011""","Operation and maintenance of plant","$285,187",67,2,"$4,257"
"Canaan School District","=""0210011""","Student transportation services","$133,217",110,3,"$1,211"
"Canaan School District","=""0210011""","Food services","$0",67,2,"$0"
"Canaan School District","=""0210011""","Enterprise operations","$0",67,2,"$0"
"Canaan School District","=""0210011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canaan School District","=""0210011""","Total","$2,379,276",69,1,"$34,482"
"Canterbury School District","=""0220011""","Instruction","$8,748,153",690,1,"$12,678"
"Canterbury School District","=""0220011""","Support services - students","$529,791",469,2,"$1,130"
"Canterbury School District","=""0220011""","Support services - instruction","$57,890",469,2,"$123"
"Canterbury School District","=""0220011""","Support services - general administration","$374,417",469,2,"$798"
"Canterbury School District","=""0220011""","Support services - school based administration","$477,175",469,2,"$1,017"
"Canterbury School District","=""0220011""","Central and other support services","$260,847",469,2,"$556"
"Canterbury School District","=""0220011""","Operation and maintenance of plant","$985,099",469,2,"$2,100"
"Canterbury School District","=""0220011""","Student transportation services","$590,581",672,3,"$879"
"Canterbury School District","=""0220011""","Food services","$26,255",469,2,"$56"
"Canterbury School District","=""0220011""","Enterprise operations","$0",469,2,"$0"
"Canterbury School District","=""0220011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canterbury School District","=""0220011""","Total","$12,050,207",690,1,"$17,464"
"Canton School District","=""0230011""","Instruction","$15,610,556",1601,1,"$9,751"
"Canton School District","=""0230011""","Support services - students","$2,863,306",1564,2,"$1,831"
"Canton School District","=""0230011""","Support services - instruction","$499,765",1564,2,"$320"
"Canton School District","=""0230011""","Support services - general administration","$538,093",1564,2,"$344"
"Canton School District","=""0230011""","Support services - school based administration","$1,552,990",1564,2,"$993"
"Canton School District","=""0230011""","Central and other support services","$2,819,560",1564,2,"$1,803"
"Canton School District","=""0230011""","Operation and maintenance of plant","$2,492,888",1564,2,"$1,594"
"Canton School District","=""0230011""","Student transportation services","$1,508,246",1340,3,"$1,126"
"Canton School District","=""0230011""","Food services","$9,036",1564,2,"$6"
"Canton School District","=""0230011""","Enterprise operations","$475,191",1564,2,"$304"
"Canton School District","=""0230011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""","Total","$28,369,631",1601,1,"$17,720"
"Capital Preparatory Harbor School District","=""2970013""","Instruction","$3,436,862",760,1,"$4,522"
"Capital Preparatory Harbor School District","=""2970013""","Support services - students","$255,374",760,2,"$336"
"Capital Preparatory Harbor School District","=""2970013""","Support services - instruction","$367,305",760,2,"$483"
"Capital Preparatory Harbor School District","=""2970013""","Support services - general administration","$381,536",760,2,"$502"
"Capital Preparatory Harbor School District","=""2970013""","Support services - school based administration","$719,608",760,2,"$947"
"Capital Preparatory Harbor School District","=""2970013""","Central and other support services","$1,324,643",760,2,"$1,743"
"Capital Preparatory Harbor School District","=""2970013""","Operation and maintenance of plant","$1,263,171",760,2,"$1,662"
"Capital Preparatory Harbor School District","=""2970013""","Student transportation services","$281,889",485,3,"$581"
"Capital Preparatory Harbor School District","=""2970013""","Food services","$0",760,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Enterprise operations","$0",760,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Minor school construction","N/A","N/A","N/A","N/A"
"Capital Preparatory Harbor School District","=""2970013""","Total","$8,030,388",760,1,"$10,566"
"Capitol Region Education Council","=""2410014""","Instruction","$100,882,026",8886,1,"$11,353"
"Capitol Region Education Council","=""2410014""","Support services - students","$21,177,411",8886,2,"$2,383"
"Capitol Region Education Council","=""2410014""","Support services - instruction","$9,020,521",8886,2,"$1,015"
"Capitol Region Education Council","=""2410014""","Support services - general administration","$6,465,469",8886,2,"$728"
"Capitol Region Education Council","=""2410014""","Support services - school based administration","$15,553,194",8886,2,"$1,750"
"Capitol Region Education Council","=""2410014""","Central and other support services","$12,242,357",8886,2,"$1,378"
"Capitol Region Education Council","=""2410014""","Operation and maintenance of plant","$22,297,195",8886,2,"$2,509"
"Capitol Region Education Council","=""2410014""","Student transportation services","$21,828,989",7474,3,"$2,921"
"Capitol Region Education Council","=""2410014""","Food services","$0",8886,2,"$0"
"Capitol Region Education Council","=""2410014""","Enterprise operations","$0",8886,2,"$0"
"Capitol Region Education Council","=""2410014""","Minor school construction","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Total","$209,467,162",8886,1,"$23,573"
"Chaplin School District","=""0240011""","Instruction","$2,435,791",156,1,"$15,614"
"Chaplin School District","=""0240011""","Support services - students","$159,469",139,2,"$1,147"
"Chaplin School District","=""0240011""","Support services - instruction","$335,980",139,2,"$2,417"
"Chaplin School District","=""0240011""","Support services - general administration","$153,602",139,2,"$1,105"
"Chaplin School District","=""0240011""","Support services - school based administration","$217,432",139,2,"$1,564"
"Chaplin School District","=""0240011""","Central and other support services","$67,038",139,2,"$482"
"Chaplin School District","=""0240011""","Operation and maintenance of plant","$239,078",139,2,"$1,720"
"Chaplin School District","=""0240011""","Student transportation services","$220,495",230,3,"$959"
"Chaplin School District","=""0240011""","Food services","$10,303",139,2,"$74"
"Chaplin School District","=""0240011""","Enterprise operations","$0",139,2,"$0"
"Chaplin School District","=""0240011""","Minor school construction","N/A","N/A","N/A","N/A"
"Chaplin School District","=""0240011""","Total","$3,839,188",156,1,"$24,610"
