"Per Pupil Expenditures by Function (District), 2017-18"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$3,945,726",2252,2,"$1,752"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$1,278,077",2252,2,"$568"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$2,758,293",2252,2,"$1,225"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$1,958,959",2252,2,"$870"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$3,202,992",2252,2,"$1,422"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$5,555,512",2252,2,"$2,467"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$2,763,295",1075,3,"$2,571"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",2252,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",2252,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","$0",2252,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Total","$71,470,343",2252,1,"$31,736"
"Ashford School District","=""0030011""","Instruction","$5,024,866",401,1,"$12,531"
"Ashford School District","=""0030011""","Support services - students","$393,088",394,2,"$998"
"Ashford School District","=""0030011""","Support services - instruction","$247,046",394,2,"$627"
"Ashford School District","=""0030011""","Support services - general administration","$239,036",394,2,"$607"
"Ashford School District","=""0030011""","Support services - school based administration","$547,710",394,2,"$1,390"
"Ashford School District","=""0030011""","Central and other support services","$372,911",394,2,"$946"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$592,821",394,2,"$1,505"
"Ashford School District","=""0030011""","Student transportation services","$401,817",426,3,"$943"
"Ashford School District","=""0030011""","Food services","$627",394,2,"$2"
"Ashford School District","=""0030011""","Enterprise operations","$0",394,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","$4,500",394,2,"$11"
"Ashford School District","=""0030011""","Total","$7,824,422",401,1,"$19,512"
"Avon School District","=""0040011""","Instruction","$37,303,758",3341,1,"$11,165"
"Avon School District","=""0040011""","Support services - students","$4,758,251",3208,2,"$1,483"
"Avon School District","=""0040011""","Support services - instruction","$774,336",3208,2,"$241"
"Avon School District","=""0040011""","Support services - general administration","$1,079,663",3208,2,"$337"
"Avon School District","=""0040011""","Support services - school based administration","$2,907,155",3208,2,"$906"
"Avon School District","=""0040011""","Central and other support services","$2,403,567",3208,2,"$749"
"Avon School District","=""0040011""","Operation and maintenance of plant","$4,992,258",3208,2,"$1,556"
"Avon School District","=""0040011""","Student transportation services","$2,928,703",3211,3,"$912"
"Avon School District","=""0040011""","Food services","$0",3208,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$1,040,728",3208,2,"$324"
"Avon School District","=""0040011""","Minor school construction","$0",3208,2,"$0"
"Avon School District","=""0040011""","Total","$58,188,420",3341,1,"$17,416"
"Barkhamsted School District","=""0050011""","Instruction","$2,637,982",256,1,"$10,305"
"Barkhamsted School District","=""0050011""","Support services - students","$133,155",248,2,"$537"
"Barkhamsted School District","=""0050011""","Support services - instruction","$231,177",248,2,"$932"
"Barkhamsted School District","=""0050011""","Support services - general administration","$166,868",248,2,"$673"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$236,956",248,2,"$955"
"Barkhamsted School District","=""0050011""","Central and other support services","$153,441",248,2,"$619"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$463,828",248,2,"$1,870"
"Barkhamsted School District","=""0050011""","Student transportation services","$284,776",228,3,"$1,249"
"Barkhamsted School District","=""0050011""","Food services","$0",248,2,"$0"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",248,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","$0",248,2,"$0"
"Barkhamsted School District","=""0050011""","Total","$4,308,182",256,1,"$16,829"
"Berlin School District","=""0070011""","Instruction","$30,249,119",2918,1,"$10,366"
"Berlin School District","=""0070011""","Support services - students","$3,631,731",2781,2,"$1,306"
"Berlin School District","=""0070011""","Support services - instruction","$1,501,987",2781,2,"$540"
"Berlin School District","=""0070011""","Support services - general administration","$663,865",2781,2,"$239"
"Berlin School District","=""0070011""","Support services - school based administration","$2,700,153",2781,2,"$971"
"Berlin School District","=""0070011""","Central and other support services","$1,462,979",2781,2,"$526"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$4,822,644",2781,2,"$1,734"
"Berlin School District","=""0070011""","Student transportation services","$2,896,666",1898,3,"$1,526"
"Berlin School District","=""0070011""","Food services","$907",2781,2,"$0"
"Berlin School District","=""0070011""","Enterprise operations","$894,582",2781,2,"$322"
"Berlin School District","=""0070011""","Minor school construction","$0",2781,2,"$0"
"Berlin School District","=""0070011""","Total","$48,824,632",2918,1,"$16,732"
"Bethany School District","=""0080011""","Instruction","$4,471,308",370,1,"$12,085"
"Bethany School District","=""0080011""","Support services - students","$134,523",364,2,"$370"
"Bethany School District","=""0080011""","Support services - instruction","$190,536",364,2,"$523"
"Bethany School District","=""0080011""","Support services - general administration","$756,708",364,2,"$2,079"
"Bethany School District","=""0080011""","Support services - school based administration","$368,615",364,2,"$1,013"
"Bethany School District","=""0080011""","Central and other support services","$971",364,2,"$3"
"Bethany School District","=""0080011""","Operation and maintenance of plant","$599,008",364,2,"$1,646"
"Bethany School District","=""0080011""","Student transportation services","$388,776",376,3,"$1,034"
"Bethany School District","=""0080011""","Food services","$0",364,2,"$0"
"Bethany School District","=""0080011""","Enterprise operations","$22,630",364,2,"$62"
"Bethany School District","=""0080011""","Minor school construction","$0",364,2,"$0"
"Bethany School District","=""0080011""","Total","$6,933,075",370,1,"$18,738"
"Bethel School District","=""0090011""","Instruction","$29,477,390",3103,1,"$9,500"
"Bethel School District","=""0090011""","Support services - students","$3,382,068",3047,2,"$1,110"
"Bethel School District","=""0090011""","Support services - instruction","$3,748,926",3047,2,"$1,230"
"Bethel School District","=""0090011""","Support services - general administration","$507,067",3047,2,"$166"
"Bethel School District","=""0090011""","Support services - school based administration","$2,387,562",3047,2,"$784"
"Bethel School District","=""0090011""","Central and other support services","$2,256,622",3047,2,"$741"
"Bethel School District","=""0090011""","Operation and maintenance of plant","$4,235,634",3047,2,"$1,390"
"Bethel School District","=""0090011""","Student transportation services","$2,587,199",3147,3,"$822"
"Bethel School District","=""0090011""","Food services","$0",3047,2,"$0"
"Bethel School District","=""0090011""","Enterprise operations","$0",3047,2,"$0"
"Bethel School District","=""0090011""","Minor school construction","$0",3047,2,"$0"
"Bethel School District","=""0090011""","Total","$48,582,469",3103,1,"$15,657"
"Bloomfield School District","=""0110011""","Instruction","$30,693,921",2640,1,"$11,626"
"Bloomfield School District","=""0110011""","Support services - students","$3,142,339",2139,2,"$1,469"
"Bloomfield School District","=""0110011""","Support services - instruction","$913,990",2139,2,"$427"
"Bloomfield School District","=""0110011""","Support services - general administration","$2,315,187",2139,2,"$1,082"
"Bloomfield School District","=""0110011""","Support services - school based administration","$4,069,924",2139,2,"$1,903"
"Bloomfield School District","=""0110011""","Central and other support services","$2,442,097",2139,2,"$1,142"
"Bloomfield School District","=""0110011""","Operation and maintenance of plant","$5,171,520",2139,2,"$2,418"
"Bloomfield School District","=""0110011""","Student transportation services","$3,179,772",1875,3,"$1,696"
"Bloomfield School District","=""0110011""","Food services","$1,163",2139,2,"$1"
"Bloomfield School District","=""0110011""","Enterprise operations","$621,272",2139,2,"$290"
"Bloomfield School District","=""0110011""","Minor school construction","$0",2139,2,"$0"
"Bloomfield School District","=""0110011""","Total","$52,551,186",2640,1,"$19,906"
"Bolton School District","=""0120011""","Instruction","$8,447,883",831,1,"$10,166"
"Bolton School District","=""0120011""","Support services - students","$1,018,291",806,2,"$1,263"
"Bolton School District","=""0120011""","Support services - instruction","$633,044",806,2,"$785"
"Bolton School District","=""0120011""","Support services - general administration","$533,296",806,2,"$662"
"Bolton School District","=""0120011""","Support services - school based administration","$1,113,518",806,2,"$1,382"
"Bolton School District","=""0120011""","Central and other support services","$713,783",806,2,"$886"
"Bolton School District","=""0120011""","Operation and maintenance of plant","$1,390,385",806,2,"$1,725"
"Bolton School District","=""0120011""","Student transportation services","$680,449",708,3,"$961"
"Bolton School District","=""0120011""","Food services","$0",806,2,"$0"
"Bolton School District","=""0120011""","Enterprise operations","$206,240",806,2,"$256"
"Bolton School District","=""0120011""","Minor school construction","$0",806,2,"$0"
"Bolton School District","=""0120011""","Total","$14,736,889",831,1,"$17,734"
"Booker T. Washington Academy District","=""2950013""","Instruction","$2,043,204",300,1,"$6,811"
"Booker T. Washington Academy District","=""2950013""","Support services - students","$157,763",300,2,"$526"
"Booker T. Washington Academy District","=""2950013""","Support services - instruction","$298,566",300,2,"$995"
"Booker T. Washington Academy District","=""2950013""","Support services - general administration","$10,142",300,2,"$34"
"Booker T. Washington Academy District","=""2950013""","Support services - school based administration","$400,011",300,2,"$1,333"
"Booker T. Washington Academy District","=""2950013""","Central and other support services","$0",300,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Operation and maintenance of plant","$620,226",300,2,"$2,067"
"Booker T. Washington Academy District","=""2950013""","Student transportation services","$56,077",210,3,"$267"
"Booker T. Washington Academy District","=""2950013""","Food services","$0",300,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Enterprise operations","$0",300,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Minor school construction","$0",300,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Total","$3,585,990",300,1,"$11,953"
"Bozrah School District","=""0130011""","Instruction","$4,002,370",299,1,"$13,386"
"Bozrah School District","=""0130011""","Support services - students","$444,142",202,2,"$2,199"
"Bozrah School District","=""0130011""","Support services - instruction","$51,367",202,2,"$254"
"Bozrah School District","=""0130011""","Support services - general administration","$243,538",202,2,"$1,206"
"Bozrah School District","=""0130011""","Support services - school based administration","$201,815",202,2,"$999"
"Bozrah School District","=""0130011""","Central and other support services","$139,779",202,2,"$692"
"Bozrah School District","=""0130011""","Operation and maintenance of plant","$434,811",202,2,"$2,153"
"Bozrah School District","=""0130011""","Student transportation services","$343,530",331,3,"$1,038"
"Bozrah School District","=""0130011""","Food services","$31,030",202,2,"$154"
"Bozrah School District","=""0130011""","Enterprise operations","$12,495",202,2,"$62"
"Bozrah School District","=""0130011""","Minor school construction","$24,672",202,2,"$122"
"Bozrah School District","=""0130011""","Total","$5,929,549",299,1,"$19,831"
"Branford School District","=""0140011""","Instruction","$34,950,836",2993,1,"$11,678"
"Branford School District","=""0140011""","Support services - students","$4,631,868",2900,2,"$1,597"
"Branford School District","=""0140011""","Support services - instruction","$3,160,855",2900,2,"$1,090"
"Branford School District","=""0140011""","Support services - general administration","$1,633,246",2900,2,"$563"
"Branford School District","=""0140011""","Support services - school based administration","$2,737,295",2900,2,"$944"
"Branford School District","=""0140011""","Central and other support services","$1,464,522",2900,2,"$505"
"Branford School District","=""0140011""","Operation and maintenance of plant","$4,972,387",2900,2,"$1,715"
"Branford School District","=""0140011""","Student transportation services","$3,062,505",2907,3,"$1,053"
"Branford School District","=""0140011""","Food services","$61,025",2900,2,"$21"
"Branford School District","=""0140011""","Enterprise operations","$987,877",2900,2,"$341"
"Branford School District","=""0140011""","Minor school construction","$191,573",2900,2,"$66"
"Branford School District","=""0140011""","Total","$57,853,990",2993,1,"$19,330"
"Brass City Charter School District","=""2900013""","Instruction","$2,085,199",254,1,"$8,209"
"Brass City Charter School District","=""2900013""","Support services - students","$229,601",254,2,"$904"
"Brass City Charter School District","=""2900013""","Support services - instruction","$196,956",254,2,"$775"
"Brass City Charter School District","=""2900013""","Support services - general administration","$171,238",254,2,"$674"
"Brass City Charter School District","=""2900013""","Support services - school based administration","$226,558",254,2,"$892"
"Brass City Charter School District","=""2900013""","Central and other support services","$130,205",254,2,"$513"
"Brass City Charter School District","=""2900013""","Operation and maintenance of plant","$277,772",254,2,"$1,094"
"Brass City Charter School District","=""2900013""","Student transportation services","$290,861",220,3,"$1,322"
"Brass City Charter School District","=""2900013""","Food services","$0",254,2,"$0"
"Brass City Charter School District","=""2900013""","Enterprise operations","$17,061",254,2,"$67"
"Brass City Charter School District","=""2900013""","Minor school construction","$0",254,2,"$0"
"Brass City Charter School District","=""2900013""","Total","$3,625,450",254,1,"$14,273"
"Bridgeport School District","=""0150011""","Instruction","$189,737,973",21773,1,"$8,714"
"Bridgeport School District","=""0150011""","Support services - students","$18,063,607",21043,2,"$858"
"Bridgeport School District","=""0150011""","Support services - instruction","$4,077,906",21043,2,"$194"
"Bridgeport School District","=""0150011""","Support services - general administration","$3,946,372",21043,2,"$188"
"Bridgeport School District","=""0150011""","Support services - school based administration","$18,225,331",21043,2,"$866"
"Bridgeport School District","=""0150011""","Central and other support services","$16,140,742",21043,2,"$767"
"Bridgeport School District","=""0150011""","Operation and maintenance of plant","$31,646,542",21043,2,"$1,504"
"Bridgeport School District","=""0150011""","Student transportation services","$21,368,279",11642,3,"$1,835"
"Bridgeport School District","=""0150011""","Food services","$0",21043,2,"$0"
"Bridgeport School District","=""0150011""","Enterprise operations","$840,068",21043,2,"$40"
"Bridgeport School District","=""0150011""","Minor school construction","$1,889,179",21043,2,"$90"
"Bridgeport School District","=""0150011""","Total","$305,935,999",21773,1,"$14,051"
"Bristol School District","=""0170011""","Instruction","$68,724,161",8375,1,"$8,206"
"Bristol School District","=""0170011""","Support services - students","$4,444,109",7884,2,"$564"
"Bristol School District","=""0170011""","Support services - instruction","$4,661,926",7884,2,"$591"
"Bristol School District","=""0170011""","Support services - general administration","$1,548,287",7884,2,"$196"
"Bristol School District","=""0170011""","Support services - school based administration","$4,603,281",7884,2,"$584"
"Bristol School District","=""0170011""","Central and other support services","$22,494,683",7884,2,"$2,853"
"Bristol School District","=""0170011""","Operation and maintenance of plant","$8,635,937",7884,2,"$1,095"
"Bristol School District","=""0170011""","Student transportation services","$9,050,064",4593,3,"$1,970"
"Bristol School District","=""0170011""","Food services","$0",7884,2,"$0"
"Bristol School District","=""0170011""","Enterprise operations","$1,882,648",7884,2,"$239"
"Bristol School District","=""0170011""","Minor school construction","$1,205,540",7884,2,"$153"
"Bristol School District","=""0170011""","Total","$127,250,636",8375,1,"$15,194"
"Brookfield School District","=""0180011""","Instruction","$25,975,887",2701,1,"$9,617"
"Brookfield School District","=""0180011""","Support services - students","$2,845,337",2628,2,"$1,083"
"Brookfield School District","=""0180011""","Support services - instruction","$2,074,365",2628,2,"$789"
"Brookfield School District","=""0180011""","Support services - general administration","$1,269,104",2628,2,"$483"
"Brookfield School District","=""0180011""","Support services - school based administration","$2,868,459",2628,2,"$1,091"
"Brookfield School District","=""0180011""","Central and other support services","$1,447,778",2628,2,"$551"
"Brookfield School District","=""0180011""","Operation and maintenance of plant","$2,837,378",2628,2,"$1,080"
"Brookfield School District","=""0180011""","Student transportation services","$2,876,058",2677,3,"$1,074"
"Brookfield School District","=""0180011""","Food services","$0",2628,2,"$0"
"Brookfield School District","=""0180011""","Enterprise operations","$750,510",2628,2,"$286"
"Brookfield School District","=""0180011""","Minor school construction","$0",2628,2,"$0"
"Brookfield School District","=""0180011""","Total","$42,944,876",2701,1,"$15,900"
"Brooklyn School District","=""0190011""","Instruction","$13,880,500",1243,1,"$11,167"
"Brooklyn School District","=""0190011""","Support services - students","$516,171",885,2,"$583"
"Brooklyn School District","=""0190011""","Support services - instruction","$355,146",885,2,"$401"
"Brooklyn School District","=""0190011""","Support services - general administration","$416,974",885,2,"$471"
"Brooklyn School District","=""0190011""","Support services - school based administration","$710,584",885,2,"$803"
"Brooklyn School District","=""0190011""","Central and other support services","$229,606",885,2,"$259"
"Brooklyn School District","=""0190011""","Operation and maintenance of plant","$1,106,291",885,2,"$1,250"
"Brooklyn School District","=""0190011""","Student transportation services","$1,179,596",1204,3,"$980"
"Brooklyn School District","=""0190011""","Food services","$0",885,2,"$0"
"Brooklyn School District","=""0190011""","Enterprise operations","$0",885,2,"$0"
"Brooklyn School District","=""0190011""","Minor school construction","$2,095,125",885,2,"$2,367"
"Brooklyn School District","=""0190011""","Total","$20,489,992",1243,1,"$16,484"
"Canaan School District","=""0210011""","Instruction","$1,104,587",74,1,"$14,927"
"Canaan School District","=""0210011""","Support services - students","$422,156",71,2,"$5,946"
"Canaan School District","=""0210011""","Support services - instruction","$87,049",71,2,"$1,226"
"Canaan School District","=""0210011""","Support services - general administration","$33,573",71,2,"$473"
"Canaan School District","=""0210011""","Support services - school based administration","$210,578",71,2,"$2,966"
"Canaan School District","=""0210011""","Central and other support services","$0",71,2,"$0"
"Canaan School District","=""0210011""","Operation and maintenance of plant","$221,796",71,2,"$3,124"
"Canaan School District","=""0210011""","Student transportation services","$153,261",98,3,"$1,564"
"Canaan School District","=""0210011""","Food services","$0",71,2,"$0"
"Canaan School District","=""0210011""","Enterprise operations","$0",71,2,"$0"
"Canaan School District","=""0210011""","Minor school construction","$0",71,2,"$0"
"Canaan School District","=""0210011""","Total","$2,233,000",74,1,"$30,176"
"Canterbury School District","=""0220011""","Instruction","$8,342,862",679,1,"$12,287"
"Canterbury School District","=""0220011""","Support services - students","$579,825",456,2,"$1,272"
"Canterbury School District","=""0220011""","Support services - instruction","$135,454",456,2,"$297"
"Canterbury School District","=""0220011""","Support services - general administration","$371,429",456,2,"$815"
"Canterbury School District","=""0220011""","Support services - school based administration","$458,924",456,2,"$1,006"
"Canterbury School District","=""0220011""","Central and other support services","$217,080",456,2,"$476"
"Canterbury School District","=""0220011""","Operation and maintenance of plant","$908,161",456,2,"$1,992"
"Canterbury School District","=""0220011""","Student transportation services","$596,032",678,3,"$879"
"Canterbury School District","=""0220011""","Food services","$31,701",456,2,"$70"
"Canterbury School District","=""0220011""","Enterprise operations","$30,227",456,2,"$66"
"Canterbury School District","=""0220011""","Minor school construction","$0",456,2,"$0"
"Canterbury School District","=""0220011""","Total","$11,671,694",679,1,"$17,190"
"Canton School District","=""0230011""","Instruction","$14,905,378",1658,1,"$8,990"
"Canton School District","=""0230011""","Support services - students","$3,314,257",1601,2,"$2,070"
"Canton School District","=""0230011""","Support services - instruction","$679,130",1601,2,"$424"
"Canton School District","=""0230011""","Support services - general administration","$619,952",1601,2,"$387"
"Canton School District","=""0230011""","Support services - school based administration","$1,095,401",1601,2,"$684"
"Canton School District","=""0230011""","Central and other support services","$2,800,720",1601,2,"$1,749"
"Canton School District","=""0230011""","Operation and maintenance of plant","$2,213,993",1601,2,"$1,383"
"Canton School District","=""0230011""","Student transportation services","$1,641,792",1510,3,"$1,087"
"Canton School District","=""0230011""","Food services","$11,852",1601,2,"$7"
"Canton School District","=""0230011""","Enterprise operations","$545,857",1601,2,"$341"
"Canton School District","=""0230011""","Minor school construction","$712,450",1601,2,"$445"
"Canton School District","=""0230011""","Total","$28,540,782",1658,1,"$17,214"
"Capital Preparatory Harbor School District","=""2970013""","Instruction","$1,697,943",439,1,"$3,868"
"Capital Preparatory Harbor School District","=""2970013""","Support services - students","$75,040",439,2,"$171"
"Capital Preparatory Harbor School District","=""2970013""","Support services - instruction","$13,274",439,2,"$30"
"Capital Preparatory Harbor School District","=""2970013""","Support services - general administration","$24,675",439,2,"$56"
"Capital Preparatory Harbor School District","=""2970013""","Support services - school based administration","$742,976",439,2,"$1,692"
"Capital Preparatory Harbor School District","=""2970013""","Central and other support services","$642,024",439,2,"$1,462"
"Capital Preparatory Harbor School District","=""2970013""","Operation and maintenance of plant","$1,296,088",439,2,"$2,952"
"Capital Preparatory Harbor School District","=""2970013""","Student transportation services","$395,324",297,3,"$1,331"
"Capital Preparatory Harbor School District","=""2970013""","Food services","$0",439,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Enterprise operations","$0",439,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Minor school construction","$0",439,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Total","$4,887,344",439,1,"$11,133"
"Capitol Region Education Council","=""2410014""","Instruction","$97,349,355",8851,1,"$10,999"
"Capitol Region Education Council","=""2410014""","Support services - students","$24,449,807",8851,2,"$2,762"
"Capitol Region Education Council","=""2410014""","Support services - instruction","$6,690,564",8851,2,"$756"
"Capitol Region Education Council","=""2410014""","Support services - general administration","$5,461,419",8851,2,"$617"
"Capitol Region Education Council","=""2410014""","Support services - school based administration","$13,735,253",8851,2,"$1,552"
"Capitol Region Education Council","=""2410014""","Central and other support services","$11,168,457",8851,2,"$1,262"
"Capitol Region Education Council","=""2410014""","Operation and maintenance of plant","$20,513,650",8851,2,"$2,318"
"Capitol Region Education Council","=""2410014""","Student transportation services","$23,846,531",7922,3,"$3,010"
"Capitol Region Education Council","=""2410014""","Food services","$0",8851,2,"$0"
"Capitol Region Education Council","=""2410014""","Enterprise operations","$0",8851,2,"$0"
"Capitol Region Education Council","=""2410014""","Minor school construction","$0",8851,2,"$0"
"Capitol Region Education Council","=""2410014""","Total","$203,215,036",8851,1,"$22,960"
"Chaplin School District","=""0240011""","Instruction","$2,158,270",166,1,"$13,002"
"Chaplin School District","=""0240011""","Support services - students","$214,742",147,2,"$1,461"
"Chaplin School District","=""0240011""","Support services - instruction","$360,522",147,2,"$2,453"
"Chaplin School District","=""0240011""","Support services - general administration","$120,276",147,2,"$818"
"Chaplin School District","=""0240011""","Support services - school based administration","$258,595",147,2,"$1,759"
"Chaplin School District","=""0240011""","Central and other support services","$58,280",147,2,"$396"
"Chaplin School District","=""0240011""","Operation and maintenance of plant","$259,050",147,2,"$1,762"
"Chaplin School District","=""0240011""","Student transportation services","$315,892",234,3,"$1,350"
"Chaplin School District","=""0240011""","Food services","$24,962",147,2,"$170"
"Chaplin School District","=""0240011""","Enterprise operations","$1,326",147,2,"$9"
"Chaplin School District","=""0240011""","Minor school construction","$0",147,2,"$0"
"Chaplin School District","=""0240011""","Total","$3,771,914",166,1,"$22,722"
"Cheshire School District","=""0250011""","Instruction","$43,793,386",4334,1,"$10,105"
"Cheshire School District","=""0250011""","Support services - students","$5,708,925",4284,2,"$1,333"
