"Per Pupil Expenditures by Function (District), 2018-19"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",2189,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","$0",2189,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Total","$75,086,894",2189,1,"$34,302"
"Ashford School District","=""0030011""","Instruction","$4,892,017",418,1,"$11,703"
"Ashford School District","=""0030011""","Support services - students","$596,473",409,2,"$1,458"
"Ashford School District","=""0030011""","Support services - instruction","$356,018",409,2,"$870"
"Ashford School District","=""0030011""","Support services - general administration","$191,483",409,2,"$468"
"Ashford School District","=""0030011""","Support services - school based administration","$555,458",409,2,"$1,358"
"Ashford School District","=""0030011""","Central and other support services","$329,868",409,2,"$807"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$650,234",409,2,"$1,590"
"Ashford School District","=""0030011""","Student transportation services","$540,534",412,3,"$1,312"
"Ashford School District","=""0030011""","Food services","$18,000",409,2,"$44"
"Ashford School District","=""0030011""","Enterprise operations","$0",409,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","$0",409,2,"$0"
"Ashford School District","=""0030011""","Total","$8,130,085",418,1,"$19,450"
"Avon School District","=""0040011""","Instruction","$38,519,415",3257,1,"$11,827"
"Avon School District","=""0040011""","Support services - students","$3,908,806",3138,2,"$1,246"
"Avon School District","=""0040011""","Support services - instruction","$1,311,557",3138,2,"$418"
"Avon School District","=""0040011""","Support services - general administration","$1,148,349",3138,2,"$366"
"Avon School District","=""0040011""","Support services - school based administration","$3,181,496",3138,2,"$1,014"
"Avon School District","=""0040011""","Central and other support services","$1,721,188",3138,2,"$548"
"Avon School District","=""0040011""","Operation and maintenance of plant","$4,770,448",3138,2,"$1,520"
"Avon School District","=""0040011""","Student transportation services","$2,896,837",3021,3,"$959"
"Avon School District","=""0040011""","Food services","$0",3138,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$996,356",3138,2,"$318"
"Avon School District","=""0040011""","Minor school construction","$0",3138,2,"$0"
"Avon School District","=""0040011""","Total","$58,454,452",3257,1,"$17,947"
"Barkhamsted School District","=""0050011""","Instruction","$2,601,263",237,1,"$10,976"
"Barkhamsted School District","=""0050011""","Support services - students","$134,536",226,2,"$595"
"Barkhamsted School District","=""0050011""","Support services - instruction","$245,905",226,2,"$1,088"
"Barkhamsted School District","=""0050011""","Support services - general administration","$207,374",226,2,"$918"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$256,264",226,2,"$1,134"
"Barkhamsted School District","=""0050011""","Central and other support services","$137,592",226,2,"$609"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$399,023",226,2,"$1,766"
"Barkhamsted School District","=""0050011""","Student transportation services","$296,076",207,3,"$1,430"
"Barkhamsted School District","=""0050011""","Food services","$0",226,2,"$0"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",226,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","$0",226,2,"$0"
"Barkhamsted School District","=""0050011""","Total","$4,278,033",237,1,"$18,051"
"Berlin School District","=""0070011""","Instruction","$31,492,646",2905,1,"$10,841"
"Berlin School District","=""0070011""","Support services - students","$3,467,555",2787,2,"$1,244"
"Berlin School District","=""0070011""","Support services - instruction","$1,600,022",2787,2,"$574"
"Berlin School District","=""0070011""","Support services - general administration","$678,598",2787,2,"$243"
"Berlin School District","=""0070011""","Support services - school based administration","$2,077,355",2787,2,"$745"
"Berlin School District","=""0070011""","Central and other support services","$1,516,106",2787,2,"$544"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$4,885,401",2787,2,"$1,753"
"Berlin School District","=""0070011""","Student transportation services","$3,006,592",2144,3,"$1,402"
"Berlin School District","=""0070011""","Food services","$0",2787,2,"$0"
"Berlin School District","=""0070011""","Enterprise operations","$1,649,627",2787,2,"$592"
"Berlin School District","=""0070011""","Minor school construction","$0",2787,2,"$0"
"Berlin School District","=""0070011""","Total","$50,373,902",2905,1,"$17,340"
"Bethany School District","=""0080011""","Instruction","$4,405,511",373,1,"$11,811"
"Bethany School District","=""0080011""","Support services - students","$165,585",364,2,"$455"
"Bethany School District","=""0080011""","Support services - instruction","$247,192",364,2,"$679"
"Bethany School District","=""0080011""","Support services - general administration","$788,293",364,2,"$2,166"
"Bethany School District","=""0080011""","Support services - school based administration","$323,570",364,2,"$889"
"Bethany School District","=""0080011""","Central and other support services","$143",364,2,"$0"
"Bethany School District","=""0080011""","Operation and maintenance of plant","$638,454",364,2,"$1,754"
"Bethany School District","=""0080011""","Student transportation services","$425,765",379,3,"$1,123"
"Bethany School District","=""0080011""","Food services","$0",364,2,"$0"
"Bethany School District","=""0080011""","Enterprise operations","$26,165",364,2,"$72"
"Bethany School District","=""0080011""","Minor school construction","$0",364,2,"$0"
"Bethany School District","=""0080011""","Total","$7,020,678",373,1,"$18,822"
"Bethel School District","=""0090011""","Instruction","$30,588,121",3147,1,"$9,720"
"Bethel School District","=""0090011""","Support services - students","$3,517,064",3102,2,"$1,134"
"Bethel School District","=""0090011""","Support services - instruction","$3,605,658",3102,2,"$1,162"
"Bethel School District","=""0090011""","Support services - general administration","$626,176",3102,2,"$202"
"Bethel School District","=""0090011""","Support services - school based administration","$2,553,689",3102,2,"$823"
"Bethel School District","=""0090011""","Central and other support services","$2,341,134",3102,2,"$755"
"Bethel School District","=""0090011""","Operation and maintenance of plant","$4,340,914",3102,2,"$1,399"
"Bethel School District","=""0090011""","Student transportation services","$2,678,174",3170,3,"$845"
"Bethel School District","=""0090011""","Food services","$0",3102,2,"$0"
"Bethel School District","=""0090011""","Enterprise operations","$0",3102,2,"$0"
"Bethel School District","=""0090011""","Minor school construction","$0",3102,2,"$0"
"Bethel School District","=""0090011""","Total","$50,250,929",3147,1,"$15,968"
"Bloomfield School District","=""0110011""","Instruction","$32,093,387",2703,1,"$11,873"
"Bloomfield School District","=""0110011""","Support services - students","$3,268,530",2173,2,"$1,504"
"Bloomfield School District","=""0110011""","Support services - instruction","$1,076,962",2173,2,"$496"
"Bloomfield School District","=""0110011""","Support services - general administration","$2,406,787",2173,2,"$1,108"
"Bloomfield School District","=""0110011""","Support services - school based administration","$3,472,336",2173,2,"$1,598"
"Bloomfield School District","=""0110011""","Central and other support services","$2,446,735",2173,2,"$1,126"
"Bloomfield School District","=""0110011""","Operation and maintenance of plant","$5,038,609",2173,2,"$2,319"
"Bloomfield School District","=""0110011""","Student transportation services","$3,491,848",1913,3,"$1,825"
"Bloomfield School District","=""0110011""","Food services","$1,448",2173,2,"$1"
"Bloomfield School District","=""0110011""","Enterprise operations","$637,684",2173,2,"$293"
"Bloomfield School District","=""0110011""","Minor school construction","$0",2173,2,"$0"
"Bloomfield School District","=""0110011""","Total","$53,934,326",2703,1,"$19,954"
"Bolton School District","=""0120011""","Instruction","$8,541,772",806,1,"$10,598"
"Bolton School District","=""0120011""","Support services - students","$966,227",782,2,"$1,236"
"Bolton School District","=""0120011""","Support services - instruction","$641,887",782,2,"$821"
"Bolton School District","=""0120011""","Support services - general administration","$578,667",782,2,"$740"
"Bolton School District","=""0120011""","Support services - school based administration","$1,132,581",782,2,"$1,448"
"Bolton School District","=""0120011""","Central and other support services","$669,111",782,2,"$856"
"Bolton School District","=""0120011""","Operation and maintenance of plant","$1,475,249",782,2,"$1,887"
"Bolton School District","=""0120011""","Student transportation services","$624,410",679,3,"$920"
"Bolton School District","=""0120011""","Food services","$0",782,2,"$0"
"Bolton School District","=""0120011""","Enterprise operations","$196,481",782,2,"$251"
"Bolton School District","=""0120011""","Minor school construction","$79,954",782,2,"$102"
"Bolton School District","=""0120011""","Total","$14,906,339",806,1,"$18,494"
"Booker T. Washington Academy District","=""2950013""","Instruction","$2,442,505",360,1,"$6,785"
"Booker T. Washington Academy District","=""2950013""","Support services - students","$324,334",360,2,"$901"
"Booker T. Washington Academy District","=""2950013""","Support services - instruction","$323,830",360,2,"$900"
"Booker T. Washington Academy District","=""2950013""","Support services - general administration","$0",360,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Support services - school based administration","$555,924",360,2,"$1,544"
"Booker T. Washington Academy District","=""2950013""","Central and other support services","$0",360,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Operation and maintenance of plant","$698,839",360,2,"$1,941"
"Booker T. Washington Academy District","=""2950013""","Student transportation services","$59,958",210,3,"$286"
"Booker T. Washington Academy District","=""2950013""","Food services","$0",360,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Enterprise operations","$0",360,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Minor school construction","$5,731",360,2,"$16"
"Booker T. Washington Academy District","=""2950013""","Total","$4,411,121",360,1,"$12,253"
"Bozrah School District","=""0130011""","Instruction","$4,046,412",285,1,"$14,198"
"Bozrah School District","=""0130011""","Support services - students","$437,752",201,2,"$2,178"
"Bozrah School District","=""0130011""","Support services - instruction","$50,409",201,2,"$251"
"Bozrah School District","=""0130011""","Support services - general administration","$259,253",201,2,"$1,290"
"Bozrah School District","=""0130011""","Support services - school based administration","$206,274",201,2,"$1,026"
"Bozrah School District","=""0130011""","Central and other support services","$135,028",201,2,"$672"
"Bozrah School District","=""0130011""","Operation and maintenance of plant","$365,250",201,2,"$1,817"
"Bozrah School District","=""0130011""","Student transportation services","$430,310",294,3,"$1,464"
"Bozrah School District","=""0130011""","Food services","$33,455",201,2,"$166"
"Bozrah School District","=""0130011""","Enterprise operations","$15,432",201,2,"$77"
"Bozrah School District","=""0130011""","Minor school construction","$958,133",201,2,"$4,767"
"Bozrah School District","=""0130011""","Total","$6,937,708",285,1,"$24,343"
"Branford School District","=""0140011""","Instruction","$34,828,346",2935,1,"$11,867"
"Branford School District","=""0140011""","Support services - students","$4,547,141",2850,2,"$1,595"
"Branford School District","=""0140011""","Support services - instruction","$3,703,764",2850,2,"$1,300"
"Branford School District","=""0140011""","Support services - general administration","$1,517,440",2850,2,"$532"
"Branford School District","=""0140011""","Support services - school based administration","$2,820,709",2850,2,"$990"
"Branford School District","=""0140011""","Central and other support services","$1,640,067",2850,2,"$575"
"Branford School District","=""0140011""","Operation and maintenance of plant","$5,989,970",2850,2,"$2,102"
"Branford School District","=""0140011""","Student transportation services","$3,160,576",2791,3,"$1,132"
"Branford School District","=""0140011""","Food services","$0",2850,2,"$0"
"Branford School District","=""0140011""","Enterprise operations","$1,013,474",2850,2,"$356"
"Branford School District","=""0140011""","Minor school construction","$210,221",2850,2,"$74"
"Branford School District","=""0140011""","Total","$59,431,708",2935,1,"$20,249"
"Brass City Charter School District","=""2900013""","Instruction","$2,315,922",287,1,"$8,069"
"Brass City Charter School District","=""2900013""","Support services - students","$273,998",287,2,"$955"
"Brass City Charter School District","=""2900013""","Support services - instruction","$172,687",287,2,"$602"
"Brass City Charter School District","=""2900013""","Support services - general administration","$179,413",287,2,"$625"
"Brass City Charter School District","=""2900013""","Support services - school based administration","$206,194",287,2,"$718"
"Brass City Charter School District","=""2900013""","Central and other support services","$149,011",287,2,"$519"
"Brass City Charter School District","=""2900013""","Operation and maintenance of plant","$360,930",287,2,"$1,258"
"Brass City Charter School District","=""2900013""","Student transportation services","$418,278",287,3,"$1,457"
"Brass City Charter School District","=""2900013""","Food services","$0",287,2,"$0"
"Brass City Charter School District","=""2900013""","Enterprise operations","$0",287,2,"$0"
"Brass City Charter School District","=""2900013""","Minor school construction","$0",287,2,"$0"
"Brass City Charter School District","=""2900013""","Total","$4,076,433",287,1,"$14,204"
"Bridgeport School District","=""0150011""","Instruction","$193,257,538",21500,1,"$8,989"
"Bridgeport School District","=""0150011""","Support services - students","$19,084,710",20770,2,"$919"
"Bridgeport School District","=""0150011""","Support services - instruction","$6,122,048",20770,2,"$295"
"Bridgeport School District","=""0150011""","Support services - general administration","$1,652,549",20770,2,"$80"
"Bridgeport School District","=""0150011""","Support services - school based administration","$18,313,125",20770,2,"$882"
"Bridgeport School District","=""0150011""","Central and other support services","$16,009,182",20770,2,"$771"
"Bridgeport School District","=""0150011""","Operation and maintenance of plant","$31,852,089",20770,2,"$1,534"
"Bridgeport School District","=""0150011""","Student transportation services","$22,551,458",12480,3,"$1,807"
"Bridgeport School District","=""0150011""","Food services","$0",20770,2,"$0"
"Bridgeport School District","=""0150011""","Enterprise operations","$900,174",20770,2,"$43"
"Bridgeport School District","=""0150011""","Minor school construction","$274,503",20770,2,"$13"
"Bridgeport School District","=""0150011""","Total","$310,017,374",21500,1,"$14,419"
"Bristol School District","=""0170011""","Instruction","$81,263,393",8336,1,"$9,748"
"Bristol School District","=""0170011""","Support services - students","$6,057,054",7837,2,"$773"
"Bristol School District","=""0170011""","Support services - instruction","$5,494,348",7837,2,"$701"
"Bristol School District","=""0170011""","Support services - general administration","$1,460,231",7837,2,"$186"
"Bristol School District","=""0170011""","Support services - school based administration","$5,815,760",7837,2,"$742"
"Bristol School District","=""0170011""","Central and other support services","$5,832,594",7837,2,"$744"
"Bristol School District","=""0170011""","Operation and maintenance of plant","$10,131,060",7837,2,"$1,293"
"Bristol School District","=""0170011""","Student transportation services","$8,711,049",4352,3,"$2,002"
"Bristol School District","=""0170011""","Food services","$0",7837,2,"$0"
"Bristol School District","=""0170011""","Enterprise operations","$2,281,391",7837,2,"$291"
"Bristol School District","=""0170011""","Minor school construction","$273,766",7837,2,"$35"
"Bristol School District","=""0170011""","Total","$127,320,646",8336,1,"$15,274"
"Brookfield School District","=""0180011""","Instruction","$26,648,470",2692,1,"$9,899"
"Brookfield School District","=""0180011""","Support services - students","$2,812,970",2619,2,"$1,074"
"Brookfield School District","=""0180011""","Support services - instruction","$2,411,833",2619,2,"$921"
"Brookfield School District","=""0180011""","Support services - general administration","$1,335,488",2619,2,"$510"
"Brookfield School District","=""0180011""","Support services - school based administration","$2,927,150",2619,2,"$1,118"
"Brookfield School District","=""0180011""","Central and other support services","$1,409,516",2619,2,"$538"
"Brookfield School District","=""0180011""","Operation and maintenance of plant","$2,922,438",2619,2,"$1,116"
"Brookfield School District","=""0180011""","Student transportation services","$3,179,413",2673,3,"$1,189"
"Brookfield School District","=""0180011""","Food services","$0",2619,2,"$0"
"Brookfield School District","=""0180011""","Enterprise operations","$808,996",2619,2,"$309"
"Brookfield School District","=""0180011""","Minor school construction","$0",2619,2,"$0"
"Brookfield School District","=""0180011""","Total","$44,456,274",2692,1,"$16,514"
"Brooklyn School District","=""0190011""","Instruction","$14,768,236",1268,1,"$11,647"
"Brooklyn School District","=""0190011""","Support services - students","$628,843",910,2,"$691"
"Brooklyn School District","=""0190011""","Support services - instruction","$326,216",910,2,"$358"
"Brooklyn School District","=""0190011""","Support services - general administration","$568,174",910,2,"$624"
"Brooklyn School District","=""0190011""","Support services - school based administration","$361,855",910,2,"$398"
"Brooklyn School District","=""0190011""","Central and other support services","$216,900",910,2,"$238"
"Brooklyn School District","=""0190011""","Operation and maintenance of plant","$1,124,072",910,2,"$1,235"
"Brooklyn School District","=""0190011""","Student transportation services","$1,291,306",1325,3,"$975"
"Brooklyn School District","=""0190011""","Food services","$0",910,2,"$0"
"Brooklyn School District","=""0190011""","Enterprise operations","$0",910,2,"$0"
"Brooklyn School District","=""0190011""","Minor school construction","$0",910,2,"$0"
"Brooklyn School District","=""0190011""","Total","$19,285,600",1268,1,"$15,209"
"Canaan School District","=""0210011""","Instruction","$1,435,300",67,1,"$21,422"
"Canaan School District","=""0210011""","Support services - students","$172,321",63,2,"$2,735"
"Canaan School District","=""0210011""","Support services - instruction","$81,757",63,2,"$1,298"
"Canaan School District","=""0210011""","Support services - general administration","$40,963",63,2,"$650"
"Canaan School District","=""0210011""","Support services - school based administration","$196,282",63,2,"$3,116"
"Canaan School District","=""0210011""","Central and other support services","$0",63,2,"$0"
"Canaan School District","=""0210011""","Operation and maintenance of plant","$224,691",63,2,"$3,567"
"Canaan School District","=""0210011""","Student transportation services","$158,183",110,3,"$1,438"
"Canaan School District","=""0210011""","Food services","$0",63,2,"$0"
"Canaan School District","=""0210011""","Enterprise operations","$0",63,2,"$0"
"Canaan School District","=""0210011""","Minor school construction","$0",63,2,"$0"
"Canaan School District","=""0210011""","Total","$2,309,497",67,1,"$34,470"
"Canterbury School District","=""0220011""","Instruction","$8,971,989",697,1,"$12,872"
"Canterbury School District","=""0220011""","Support services - students","$539,925",465,2,"$1,161"
"Canterbury School District","=""0220011""","Support services - instruction","$62,699",465,2,"$135"
"Canterbury School District","=""0220011""","Support services - general administration","$258,440",465,2,"$556"
"Canterbury School District","=""0220011""","Support services - school based administration","$553,050",465,2,"$1,189"
"Canterbury School District","=""0220011""","Central and other support services","$201,169",465,2,"$433"
"Canterbury School District","=""0220011""","Operation and maintenance of plant","$1,071,488",465,2,"$2,304"
"Canterbury School District","=""0220011""","Student transportation services","$676,630",574,3,"$1,179"
"Canterbury School District","=""0220011""","Food services","$27,428",465,2,"$59"
"Canterbury School District","=""0220011""","Enterprise operations","$0",465,2,"$0"
"Canterbury School District","=""0220011""","Minor school construction","$0",465,2,"$0"
"Canterbury School District","=""0220011""","Total","$12,362,817",697,1,"$17,737"
"Canton School District","=""0230011""","Instruction","$15,142,129",1599,1,"$9,470"
"Canton School District","=""0230011""","Support services - students","$2,752,693",1550,2,"$1,776"
"Canton School District","=""0230011""","Support services - instruction","$507,554",1550,2,"$327"
"Canton School District","=""0230011""","Support services - general administration","$627,947",1550,2,"$405"
"Canton School District","=""0230011""","Support services - school based administration","$1,505,720",1550,2,"$971"
"Canton School District","=""0230011""","Central and other support services","$2,795,978",1550,2,"$1,804"
"Canton School District","=""0230011""","Operation and maintenance of plant","$2,466,135",1550,2,"$1,591"
"Canton School District","=""0230011""","Student transportation services","$1,582,041",1305,3,"$1,212"
"Canton School District","=""0230011""","Food services","$40,866",1550,2,"$26"
"Canton School District","=""0230011""","Enterprise operations","$587,085",1550,2,"$379"
"Canton School District","=""0230011""","Minor school construction","$0",1550,2,"$0"
"Canton School District","=""0230011""","Total","$28,008,148",1599,1,"$17,516"
"Capital Preparatory Harbor School District","=""2970013""","Instruction","$2,518,451",634,1,"$3,972"
"Capital Preparatory Harbor School District","=""2970013""","Support services - students","$144,691",634,2,"$228"
"Capital Preparatory Harbor School District","=""2970013""","Support services - instruction","$117,178",634,2,"$185"
"Capital Preparatory Harbor School District","=""2970013""","Support services - general administration","$191,462",634,2,"$302"
"Capital Preparatory Harbor School District","=""2970013""","Support services - school based administration","$699,745",634,2,"$1,104"
"Capital Preparatory Harbor School District","=""2970013""","Central and other support services","$1,114,341",634,2,"$1,758"
"Capital Preparatory Harbor School District","=""2970013""","Operation and maintenance of plant","$1,187,236",634,2,"$1,873"
"Capital Preparatory Harbor School District","=""2970013""","Student transportation services","$395,655",552,3,"$717"
"Capital Preparatory Harbor School District","=""2970013""","Food services","$0",634,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Enterprise operations","$0",634,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Minor school construction","$0",634,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Total","$6,368,759",634,1,"$10,045"
"Capitol Region Education Council","=""2410014""","Instruction","$96,603,949",8918,1,"$10,832"
"Capitol Region Education Council","=""2410014""","Support services - students","$20,450,524",8918,2,"$2,293"
"Capitol Region Education Council","=""2410014""","Support services - instruction","$10,081,553",8918,2,"$1,130"
"Capitol Region Education Council","=""2410014""","Support services - general administration","$5,337,517",8918,2,"$599"
"Capitol Region Education Council","=""2410014""","Support services - school based administration","$14,870,973",8918,2,"$1,668"
"Capitol Region Education Council","=""2410014""","Central and other support services","$7,413,833",8918,2,"$831"
"Capitol Region Education Council","=""2410014""","Operation and maintenance of plant","$23,446,057",8918,2,"$2,629"
"Capitol Region Education Council","=""2410014""","Student transportation services","$24,622,830",7605,3,"$3,238"
"Capitol Region Education Council","=""2410014""","Food services","$0",8918,2,"$0"
"Capitol Region Education Council","=""2410014""","Enterprise operations","$0",8918,2,"$0"
"Capitol Region Education Council","=""2410014""","Minor school construction","$0",8918,2,"$0"
"Capitol Region Education Council","=""2410014""","Total","$202,827,237",8918,1,"$22,744"
"Chaplin School District","=""0240011""","Instruction","$2,208,204",171,1,"$12,913"
"Chaplin School District","=""0240011""","Support services - students","$236,412",154,2,"$1,535"
"Chaplin School District","=""0240011""","Support services - instruction","$360,812",154,2,"$2,343"
"Chaplin School District","=""0240011""","Support services - general administration","$113,181",154,2,"$735"
"Chaplin School District","=""0240011""","Support services - school based administration","$266,014",154,2,"$1,727"
"Chaplin School District","=""0240011""","Central and other support services","$77,196",154,2,"$501"
"Chaplin School District","=""0240011""","Operation and maintenance of plant","$260,050",154,2,"$1,689"
"Chaplin School District","=""0240011""","Student transportation services","$327,255",234,3,"$1,399"
"Chaplin School District","=""0240011""","Food services","$26,512",154,2,"$172"
"Chaplin School District","=""0240011""","Enterprise operations","$1,374",154,2,"$9"
"Chaplin School District","=""0240011""","Minor school construction","$0",154,2,"$0"
"Chaplin School District","=""0240011""","Total","$3,877,011",171,1,"$22,673"
"Cheshire School District","=""0250011""","Instruction","$45,218,097",4324,1,"$10,457"
"Cheshire School District","=""0250011""","Support services - students","$5,882,115",4270,2,"$1,378"
