"Per Pupil Expenditures by Object (District), 2017-18"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Avon School District","=""0040011""","Employee Benefits","$10,188,089",3208,2,"$3,176"
"Avon School District","=""0040011""","Purchased Services","$6,354,889",3208,2,"$1,981"
"Avon School District","=""0040011""","Tuition","$3,223,704",133,4,"$24,238"
"Avon School District","=""0040011""","Supplies","$2,475,242",3208,2,"$772"
"Avon School District","=""0040011""","Property","$1,078,956",3208,2,"$336"
"Avon School District","=""0040011""","Other","$95,567",3208,2,"$30"
"Avon School District","=""0040011""","Total","$58,188,420",3341,1,"$17,416"
"Barkhamsted School District","=""0050011""","Salaries","$2,155,881",248,2,"$8,693"
"Barkhamsted School District","=""0050011""","Employee Benefits","$555,431",248,2,"$2,240"
"Barkhamsted School District","=""0050011""","Purchased Services","$1,260,976",248,2,"$5,085"
"Barkhamsted School District","=""0050011""","Tuition","$114,401",8,4,"$14,300"
"Barkhamsted School District","=""0050011""","Supplies","$136,724",248,2,"$551"
"Barkhamsted School District","=""0050011""","Property","$59,490",248,2,"$240"
"Barkhamsted School District","=""0050011""","Other","$25,279",248,2,"$102"
"Barkhamsted School District","=""0050011""","Total","$4,308,182",256,1,"$16,829"
"Berlin School District","=""0070011""","Salaries","$30,836,154",2781,2,"$11,088"
"Berlin School District","=""0070011""","Employee Benefits","$6,448,676",2781,2,"$2,319"
"Berlin School District","=""0070011""","Purchased Services","$6,417,844",2781,2,"$2,308"
"Berlin School District","=""0070011""","Tuition","$2,543,252",137,4,"$18,564"
"Berlin School District","=""0070011""","Supplies","$2,018,853",2781,2,"$726"
"Berlin School District","=""0070011""","Property","$457,588",2781,2,"$165"
"Berlin School District","=""0070011""","Other","$102,265",2781,2,"$37"
"Berlin School District","=""0070011""","Total","$48,824,632",2918,1,"$16,732"
"Bethany School District","=""0080011""","Salaries","$4,143,475",364,2,"$11,383"
"Bethany School District","=""0080011""","Employee Benefits","$804,910",364,2,"$2,211"
"Bethany School District","=""0080011""","Purchased Services","$998,662",364,2,"$2,744"
"Bethany School District","=""0080011""","Tuition","$146,199",6,4,"$24,367"
"Bethany School District","=""0080011""","Supplies","$264,310",364,2,"$726"
"Bethany School District","=""0080011""","Property","$342,658",364,2,"$941"
"Bethany School District","=""0080011""","Other","$232,860",364,2,"$640"
"Bethany School District","=""0080011""","Total","$6,933,075",370,1,"$18,738"
"Bethel School District","=""0090011""","Salaries","$30,811,183",3047,2,"$10,112"
"Bethel School District","=""0090011""","Employee Benefits","$8,504,369",3047,2,"$2,791"
"Bethel School District","=""0090011""","Purchased Services","$6,173,712",3047,2,"$2,026"
"Bethel School District","=""0090011""","Tuition","$1,439,443",56,4,"$25,704"
"Bethel School District","=""0090011""","Supplies","$981,139",3047,2,"$322"
"Bethel School District","=""0090011""","Property","$610,817",3047,2,"$200"
"Bethel School District","=""0090011""","Other","$61,807",3047,2,"$20"
"Bethel School District","=""0090011""","Total","$48,582,469",3103,1,"$15,657"
"Bloomfield School District","=""0110011""","Salaries","$28,505,299",2139,2,"$13,326"
"Bloomfield School District","=""0110011""","Employee Benefits","$11,321,969",2139,2,"$5,293"
"Bloomfield School District","=""0110011""","Purchased Services","$5,923,778",2139,2,"$2,769"
"Bloomfield School District","=""0110011""","Tuition","$3,923,657",501,4,"$7,832"
"Bloomfield School District","=""0110011""","Supplies","$2,091,527",2139,2,"$978"
"Bloomfield School District","=""0110011""","Property","$640,162",2139,2,"$299"
"Bloomfield School District","=""0110011""","Other","$144,795",2139,2,"$68"
"Bloomfield School District","=""0110011""","Total","$52,551,186",2640,1,"$19,906"
"Bolton School District","=""0120011""","Salaries","$9,421,507",806,2,"$11,689"
"Bolton School District","=""0120011""","Employee Benefits","$2,292,402",806,2,"$2,844"
"Bolton School District","=""0120011""","Purchased Services","$1,531,560",806,2,"$1,900"
"Bolton School District","=""0120011""","Tuition","$635,900",25,4,"$25,436"
"Bolton School District","=""0120011""","Supplies","$727,681",806,2,"$903"
"Bolton School District","=""0120011""","Property","$82,848",806,2,"$103"
"Bolton School District","=""0120011""","Other","$44,991",806,2,"$56"
"Bolton School District","=""0120011""","Total","$14,736,889",831,1,"$17,734"
"Booker T. Washington Academy District","=""2950013""","Salaries","$1,988,053",300,2,"$6,627"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$370,663",300,2,"$1,236"
"Booker T. Washington Academy District","=""2950013""","Purchased Services","$963,953",300,2,"$3,213"
"Booker T. Washington Academy District","=""2950013""","Tuition","$0",0,4,"$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$207,687",300,2,"$692"
"Booker T. Washington Academy District","=""2950013""","Property","$38,722",300,2,"$129"
"Booker T. Washington Academy District","=""2950013""","Other","$16,911",300,2,"$56"
"Booker T. Washington Academy District","=""2950013""","Total","$3,585,990",300,1,"$11,953"
"Bozrah School District","=""0130011""","Salaries","$2,670,250",202,2,"$13,219"
"Bozrah School District","=""0130011""","Employee Benefits","$742,027",202,2,"$3,673"
"Bozrah School District","=""0130011""","Purchased Services","$700,117",202,2,"$3,466"
"Bozrah School District","=""0130011""","Tuition","$1,518,207",97,4,"$15,652"
"Bozrah School District","=""0130011""","Supplies","$256,550",202,2,"$1,270"
"Bozrah School District","=""0130011""","Property","$36,414",202,2,"$180"
"Bozrah School District","=""0130011""","Other","$5,984",202,2,"$30"
"Bozrah School District","=""0130011""","Total","$5,929,549",299,1,"$19,831"
"Branford School District","=""0140011""","Salaries","$33,908,727",2900,2,"$11,693"
"Branford School District","=""0140011""","Employee Benefits","$10,651,120",2900,2,"$3,673"
"Branford School District","=""0140011""","Purchased Services","$7,274,108",2900,2,"$2,508"
"Branford School District","=""0140011""","Tuition","$2,505,168",93,4,"$26,937"
"Branford School District","=""0140011""","Supplies","$2,507,849",2900,2,"$865"
"Branford School District","=""0140011""","Property","$754,668",2900,2,"$260"
"Branford School District","=""0140011""","Other","$252,351",2900,2,"$87"
"Branford School District","=""0140011""","Total","$57,853,990",2993,1,"$19,330"
"Brass City Charter School District","=""2900013""","Salaries","$2,425,786",254,2,"$9,550"
"Brass City Charter School District","=""2900013""","Employee Benefits","$352,695",254,2,"$1,389"
"Brass City Charter School District","=""2900013""","Purchased Services","$594,726",254,2,"$2,341"
"Brass City Charter School District","=""2900013""","Tuition","$0",0,4,"$0"
"Brass City Charter School District","=""2900013""","Supplies","$197,297",254,2,"$777"
"Brass City Charter School District","=""2900013""","Property","$46,458",254,2,"$183"
"Brass City Charter School District","=""2900013""","Other","$8,488",254,2,"$33"
"Brass City Charter School District","=""2900013""","Total","$3,625,450",254,1,"$14,273"
"Bridgeport School District","=""0150011""","Salaries","$168,770,114",21043,2,"$8,020"
"Bridgeport School District","=""0150011""","Employee Benefits","$56,913,036",21043,2,"$2,705"
"Bridgeport School District","=""0150011""","Purchased Services","$44,377,096",21043,2,"$2,109"
"Bridgeport School District","=""0150011""","Tuition","$26,005,139",730,4,"$35,623"
"Bridgeport School District","=""0150011""","Supplies","$4,040,078",21043,2,"$192"
"Bridgeport School District","=""0150011""","Property","$1,938,939",21043,2,"$92"
"Bridgeport School District","=""0150011""","Other","$3,891,597",21043,2,"$185"
"Bridgeport School District","=""0150011""","Total","$305,935,999",21773,1,"$14,051"
"Bristol School District","=""0170011""","Salaries","$74,966,729",7884,2,"$9,509"
"Bristol School District","=""0170011""","Employee Benefits","$18,988,212",7884,2,"$2,408"
"Bristol School District","=""0170011""","Purchased Services","$18,457,251",7884,2,"$2,341"
"Bristol School District","=""0170011""","Tuition","$12,233,049",491,4,"$24,915"
"Bristol School District","=""0170011""","Supplies","$2,161,572",7884,2,"$274"
"Bristol School District","=""0170011""","Property","$325,946",7884,2,"$41"
"Bristol School District","=""0170011""","Other","$117,877",7884,2,"$15"
"Bristol School District","=""0170011""","Total","$127,250,636",8375,1,"$15,194"
"Brookfield School District","=""0180011""","Salaries","$26,643,706",2628,2,"$10,138"
"Brookfield School District","=""0180011""","Employee Benefits","$6,768,581",2628,2,"$2,576"
"Brookfield School District","=""0180011""","Purchased Services","$6,480,548",2628,2,"$2,466"
"Brookfield School District","=""0180011""","Tuition","$2,006,364",73,4,"$27,484"
"Brookfield School District","=""0180011""","Supplies","$616,660",2628,2,"$235"
"Brookfield School District","=""0180011""","Property","$365,057",2628,2,"$139"
"Brookfield School District","=""0180011""","Other","$63,959",2628,2,"$24"
"Brookfield School District","=""0180011""","Total","$42,944,876",2701,1,"$15,900"
"Brooklyn School District","=""0190011""","Salaries","$7,621,163",885,2,"$8,611"
"Brooklyn School District","=""0190011""","Employee Benefits","$1,817,358",885,2,"$2,054"
"Brooklyn School District","=""0190011""","Purchased Services","$4,142,050",885,2,"$4,680"
"Brooklyn School District","=""0190011""","Tuition","$6,068,052",358,4,"$16,950"
"Brooklyn School District","=""0190011""","Supplies","$643,745",885,2,"$727"
"Brooklyn School District","=""0190011""","Property","$59,327",885,2,"$67"
"Brooklyn School District","=""0190011""","Other","$138,296",885,2,"$156"
"Brooklyn School District","=""0190011""","Total","$20,489,992",1243,1,"$16,484"
"Canaan School District","=""0210011""","Salaries","$1,274,453",71,2,"$17,950"
"Canaan School District","=""0210011""","Employee Benefits","$406,646",71,2,"$5,727"
"Canaan School District","=""0210011""","Purchased Services","$397,354",71,2,"$5,597"
"Canaan School District","=""0210011""","Supplies","$96,190",71,2,"$1,355"
"Canaan School District","=""0210011""","Property","$25,359",71,2,"$357"
"Canaan School District","=""0210011""","Other � Includes Tuition","$32,998",74,1,"$446"
"Canaan School District","=""0210011""","Total","$2,233,000",74,1,"$30,176"
"Canterbury School District","=""0220011""","Salaries","$5,084,490",456,2,"$11,150"
"Canterbury School District","=""0220011""","Employee Benefits","$1,684,450",456,2,"$3,694"
"Canterbury School District","=""0220011""","Purchased Services","$1,096,686",456,2,"$2,405"
"Canterbury School District","=""0220011""","Tuition","$2,860,899",223,4,"$12,829"
"Canterbury School District","=""0220011""","Supplies","$668,620",456,2,"$1,466"
"Canterbury School District","=""0220011""","Property","$255,299",456,2,"$560"
"Canterbury School District","=""0220011""","Other","$21,251",456,2,"$47"
"Canterbury School District","=""0220011""","Total","$11,671,694",679,1,"$17,190"
"Canton School District","=""0230011""","Salaries","$17,213,945",1601,2,"$10,752"
"Canton School District","=""0230011""","Employee Benefits","$4,947,945",1601,2,"$3,091"
"Canton School District","=""0230011""","Purchased Services","$3,937,799",1601,2,"$2,460"
"Canton School District","=""0230011""","Tuition","$1,195,496",57,4,"$20,974"
"Canton School District","=""0230011""","Supplies","$1,044,307",1601,2,"$652"
"Canton School District","=""0230011""","Property","$113,987",1601,2,"$71"
"Canton School District","=""0230011""","Other","$87,304",1601,2,"$55"
"Canton School District","=""0230011""","Total","$28,540,782",1658,1,"$17,214"
"Capital Preparatory Harbor School District","=""2970013""","Salaries","$1,750,049",439,2,"$3,986"
"Capital Preparatory Harbor School District","=""2970013""","Employee Benefits","$385,525",439,2,"$878"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services","$2,229,852",439,2,"$5,079"
"Capital Preparatory Harbor School District","=""2970013""","Tuition","$0",0,4,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Supplies","$250,095",439,2,"$570"
"Capital Preparatory Harbor School District","=""2970013""","Property","$271,439",439,2,"$618"
"Capital Preparatory Harbor School District","=""2970013""","Other","$385",439,2,"$1"
"Capital Preparatory Harbor School District","=""2970013""","Total","$4,887,344",439,1,"$11,133"
"Capitol Region Education Council","=""2410014""","Salaries","$106,506,935",8851,2,"$12,033"
"Capitol Region Education Council","=""2410014""","Employee Benefits","$25,476,679",8851,2,"$2,878"
"Capitol Region Education Council","=""2410014""","Purchased Services","$60,055,689",8851,2,"$6,785"
"Capitol Region Education Council","=""2410014""","Tuition","$0",0,4,"$0"
"Capitol Region Education Council","=""2410014""","Supplies","$10,638,822",8851,2,"$1,202"
"Capitol Region Education Council","=""2410014""","Property","$365,359",8851,2,"$41"
"Capitol Region Education Council","=""2410014""","Other","$171,551",8851,2,"$19"
"Capitol Region Education Council","=""2410014""","Total","$203,215,036",8851,1,"$22,960"
"Chaplin School District","=""0240011""","Salaries","$2,068,530",147,2,"$14,072"
"Chaplin School District","=""0240011""","Employee Benefits","$547,669",147,2,"$3,726"
"Chaplin School District","=""0240011""","Purchased Services","$773,746",147,2,"$5,264"
"Chaplin School District","=""0240011""","Tuition","$249,869",19,4,"$13,151"
"Chaplin School District","=""0240011""","Supplies","$92,489",147,2,"$629"
"Chaplin School District","=""0240011""","Property","$36,181",147,2,"$246"
"Chaplin School District","=""0240011""","Other","$3,429",147,2,"$23"
"Chaplin School District","=""0240011""","Total","$3,771,914",166,1,"$22,722"
"Cheshire School District","=""0250011""","Salaries","$45,233,848",4284,2,"$10,559"
"Cheshire School District","=""0250011""","Employee Benefits","$11,369,768",4284,2,"$2,654"
"Cheshire School District","=""0250011""","Purchased Services","$8,917,010",4284,2,"$2,081"
"Cheshire School District","=""0250011""","Tuition","$2,239,550",50,4,"$44,791"
"Cheshire School District","=""0250011""","Supplies","$2,014,223",4284,2,"$470"
"Cheshire School District","=""0250011""","Property","$1,139,452",4284,2,"$266"
"Cheshire School District","=""0250011""","Other","$43,801",4284,2,"$10"
"Cheshire School District","=""0250011""","Total","$70,957,651",4334,1,"$16,372"
"Chester School District","=""0260011""","Salaries","$3,006,988",205,2,"$14,668"
"Chester School District","=""0260011""","Employee Benefits","$858,054",205,2,"$4,186"
"Chester School District","=""0260011""","Purchased Services","$483,114",205,2,"$2,357"
"Chester School District","=""0260011""","Tuition","$13,296",9,4,"$1,477"
"Chester School District","=""0260011""","Supplies","$239,739",205,2,"$1,169"
"Chester School District","=""0260011""","Property","$4,468",205,2,"$22"
"Chester School District","=""0260011""","Other","$3,808",205,2,"$19"
"Chester School District","=""0260011""","Total","$4,609,467",214,1,"$21,540"
"Clinton School District","=""0270011""","Salaries","$19,799,556",1763,2,"$11,231"
"Clinton School District","=""0270011""","Employee Benefits","$6,406,159",1763,2,"$3,634"
"Clinton School District","=""0270011""","Purchased Services","$3,928,463",1763,2,"$2,228"
"Clinton School District","=""0270011""","Tuition","$953,624",25,4,"$38,145"
"Clinton School District","=""0270011""","Supplies","$1,250,398",1763,2,"$709"
"Clinton School District","=""0270011""","Property","$152,333",1763,2,"$86"
"Clinton School District","=""0270011""","Other","$171,876",1763,2,"$97"
"Clinton School District","=""0270011""","Total","$32,662,409",1788,1,"$18,268"
"Colchester School District","=""0280011""","Salaries","$25,066,213",2438,2,"$10,281"
"Colchester School District","=""0280011""","Employee Benefits","$6,624,219",2438,2,"$2,717"
"Colchester School District","=""0280011""","Purchased Services","$3,982,765",2438,2,"$1,634"
"Colchester School District","=""0280011""","Tuition","$2,658,588",135,4,"$19,693"
"Colchester School District","=""0280011""","Supplies","$2,042,492",2438,2,"$838"
"Colchester School District","=""0280011""","Property","$246,356",2438,2,"$101"
"Colchester School District","=""0280011""","Other","$490,597",2438,2,"$201"
"Colchester School District","=""0280011""","Total","$41,111,229",2573,1,"$15,978"
"Colebrook School District","=""0290011""","Salaries","$1,191,422",87,2,"$13,695"
"Colebrook School District","=""0290011""","Employee Benefits","$245,792",87,2,"$2,825"
"Colebrook School District","=""0290011""","Purchased Services","$358,742",87,2,"$4,123"
"Colebrook School District","=""0290011""","Tuition","$104,133",6,4,"$17,355"
"Colebrook School District","=""0290011""","Supplies","$70,847",87,2,"$814"
"Colebrook School District","=""0290011""","Property","$10,918",87,2,"$125"
"Colebrook School District","=""0290011""","Other","$37,563",87,2,"$432"
"Colebrook School District","=""0290011""","Total","$2,019,417",93,1,"$21,714"
"Columbia School District","=""0300011""","Salaries","$5,451,577",430,2,"$12,678"
"Columbia School District","=""0300011""","Employee Benefits","$1,322,573",430,2,"$3,076"
"Columbia School District","=""0300011""","Purchased Services","$1,417,357",430,2,"$3,296"
"Columbia School District","=""0300011""","Tuition","$4,394,300",290,4,"$15,153"
"Columbia School District","=""0300011""","Supplies","$322,935",430,2,"$751"
"Columbia School District","=""0300011""","Property","$96,413",430,2,"$224"
"Columbia School District","=""0300011""","Other","$27,257",430,2,"$63"
"Columbia School District","=""0300011""","Total","$13,032,411",720,1,"$18,101"
"Common Ground High School District","=""2680013""","Salaries","$1,975,498",202,2,"$9,780"
"Common Ground High School District","=""2680013""","Employee Benefits","$349,734",202,2,"$1,731"
"Common Ground High School District","=""2680013""","Purchased Services","$753,355",202,2,"$3,729"
"Common Ground High School District","=""2680013""","Tuition","$0",0,4,"$0"
"Common Ground High School District","=""2680013""","Supplies","$64,231",202,2,"$318"
"Common Ground High School District","=""2680013""","Property","$43,949",202,2,"$218"
"Common Ground High School District","=""2680013""","Other","$15,050",202,2,"$75"
"Common Ground High School District","=""2680013""","Total","$3,201,816",202,1,"$15,851"
"Connecticut Technical Education and Career System","=""9000016""","Salaries","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Employee Benefits","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Tuition","$0",0,4,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Supplies","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Property","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Other","$0",10806,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Total","$0",10806,1,"$0"
"Cooperative Educational Services","=""2430014""","Salaries","$18,717,093",1052,2,"$17,792"
"Cooperative Educational Services","=""2430014""","Employee Benefits","$4,660,775",1052,2,"$4,430"
"Cooperative Educational Services","=""2430014""","Purchased Services","$5,512,698",1052,2,"$5,240"
"Cooperative Educational Services","=""2430014""","Tuition","$0",0,4,"$0"
"Cooperative Educational Services","=""2430014""","Supplies","$844,394",1052,2,"$803"
"Cooperative Educational Services","=""2430014""","Property","$220,920",1052,2,"$210"
"Cooperative Educational Services","=""2430014""","Other","$22,949",1052,2,"$22"
"Cooperative Educational Services","=""2430014""","Total","$29,978,829",1052,1,"$28,497"
"Cornwall School District","=""0310011""","Salaries","$1,809,751",73,2,"$24,791"
"Cornwall School District","=""0310011""","Employee Benefits","$480,516",73,2,"$6,582"
"Cornwall School District","=""0310011""","Purchased Services","$511,482",73,2,"$7,007"
"Cornwall School District","=""0310011""","Supplies","$116,521",73,2,"$1,596"
"Cornwall School District","=""0310011""","Property","$13,224",73,2,"$181"
"Cornwall School District","=""0310011""","Other � Includes Tuition","$45,149",74,1,"$610"
"Cornwall School District","=""0310011""","Total","$2,976,643",74,1,"$40,225"
"Coventry School District","=""0320011""","Salaries","$17,473,073",1682,2,"$10,388"
"Coventry School District","=""0320011""","Employee Benefits","$4,314,884",1682,2,"$2,565"
"Coventry School District","=""0320011""","Purchased Services","$3,713,821",1682,2,"$2,208"
"Coventry School District","=""0320011""","Tuition","$1,564,361",100,4,"$15,644"
"Coventry School District","=""0320011""","Supplies","$1,007,992",1682,2,"$599"
"Coventry School District","=""0320011""","Property","$326,368",1682,2,"$194"
"Coventry School District","=""0320011""","Other","$164,186",1682,2,"$98"
"Coventry School District","=""0320011""","Total","$28,564,685",1782,1,"$16,030"
"Cromwell School District","=""0330011""","Salaries","$18,979,611",1961,2,"$9,679"
"Cromwell School District","=""0330011""","Employee Benefits","$4,603,494",1961,2,"$2,348"
"Cromwell School District","=""0330011""","Purchased Services","$3,131,931",1961,2,"$1,597"
"Cromwell School District","=""0330011""","Tuition","$2,306,681",118,4,"$19,548"
"Cromwell School District","=""0330011""","Supplies","$1,382,869",1961,2,"$705"
"Cromwell School District","=""0330011""","Property","$523,304",1961,2,"$267"
"Cromwell School District","=""0330011""","Other","$96,763",1961,2,"$49"
"Cromwell School District","=""0330011""","Total","$31,024,652",2079,1,"$14,923"
"Danbury School District","=""0340011""","Salaries","$96,746,941",11462,2,"$8,441"
"Danbury School District","=""0340011""","Employee Benefits","$28,873,891",11462,2,"$2,519"
"Danbury School District","=""0340011""","Purchased Services","$11,827,609",11462,2,"$1,032"
"Danbury School District","=""0340011""","Tuition","$3,419,129",65,4,"$52,602"
"Danbury School District","=""0340011""","Supplies","$5,704,686",11462,2,"$498"
"Danbury School District","=""0340011""","Property","$3,184,820",11462,2,"$278"
"Danbury School District","=""0340011""","Other","$525,496",11462,2,"$46"
"Danbury School District","=""0340011""","Total","$150,282,571",11527,1,"$13,037"
"Darien School District","=""0350011""","Salaries","$63,284,359",4789,2,"$13,215"
"Darien School District","=""0350011""","Employee Benefits","$14,251,046",4789,2,"$2,976"
"Darien School District","=""0350011""","Purchased Services","$12,323,768",4789,2,"$2,573"
"Darien School District","=""0350011""","Tuition","$6,669,302",50,4,"$133,386"
"Darien School District","=""0350011""","Supplies","$4,138,048",4789,2,"$864"
"Darien School District","=""0350011""","Property","$2,516,733",4789,2,"$526"
"Darien School District","=""0350011""","Other","$16,883",4789,2,"$4"
"Darien School District","=""0350011""","Total","$103,200,140",4839,1,"$21,327"
"Deep River School District","=""0360011""","Salaries","$3,598,589",275,2,"$13,086"
"Deep River School District","=""0360011""","Employee Benefits","$972,681",275,2,"$3,537"
"Deep River School District","=""0360011""","Purchased Services","$620,394",275,2,"$2,256"
"Deep River School District","=""0360011""","Tuition","$85,009",16,4,"$5,313"
"Deep River School District","=""0360011""","Supplies","$236,125",275,2,"$859"
"Deep River School District","=""0360011""","Property","$0",275,2,"$0"
"Deep River School District","=""0360011""","Other","$40,474",275,2,"$147"
"Deep River School District","=""0360011""","Total","$5,553,272",291,1,"$19,083"
"Derby School District","=""0370011""","Salaries","$13,330,974",1364,2,"$9,773"
"Derby School District","=""0370011""","Employee Benefits","$4,274,496",1364,2,"$3,134"
"Derby School District","=""0370011""","Purchased Services","$4,520,079",1364,2,"$3,314"
"Derby School District","=""0370011""","Tuition","$2,406,166",126,4,"$19,097"
"Derby School District","=""0370011""","Supplies","$1,282,551",1364,2,"$940"
"Derby School District","=""0370011""","Property","$590,692",1364,2,"$433"
"Derby School District","=""0370011""","Other","$99,174",1364,2,"$73"
"Derby School District","=""0370011""","Total","$26,504,131",1490,1,"$17,788"
"East Granby School District","=""0400011""","Salaries","$10,108,534",838,2,"$12,063"
"East Granby School District","=""0400011""","Employee Benefits","$2,724,471",838,2,"$3,251"
