"Special Education Expenditures, 2020-21"
"All Districts"

"District","District Code","Description","Amount"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$244,710"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$5,709"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$102,390"
"Amistad Academy District","=""2790013""","All Other Expenditures","$2,119"
"Amistad Academy District","=""2790013""","Total","$2,043,492"
"Andover School District","=""0010011""","Teacher Salaries","$206,461"
"Andover School District","=""0010011""","Instructional Aide Salaries","$49,672"
"Andover School District","=""0010011""","Other Salaries","$46,739"
"Andover School District","=""0010011""","Employee Benefits","$127,687"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$44,099"
"Andover School District","=""0010011""","Special Education Tuition","$153,334"
"Andover School District","=""0010011""","Supplies","$9,314"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$17,580"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$250"
"Andover School District","=""0010011""","Total","$655,136"
"Ansonia School District","=""0020011""","Teacher Salaries","$1,846,806"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$564,047"
"Ansonia School District","=""0020011""","Other Salaries","$690,830"
"Ansonia School District","=""0020011""","Employee Benefits","$576,383"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$745,219"
"Ansonia School District","=""0020011""","Special Education Tuition","$4,865,461"
"Ansonia School District","=""0020011""","Supplies","$125,920"
"Ansonia School District","=""0020011""","Property Services","$464,815"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,047,436"
"Ansonia School District","=""0020011""","Equipment","$12,406"
"Ansonia School District","=""0020011""","All Other Expenditures","$0"
"Ansonia School District","=""0020011""","Total","$10,939,323"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$9,517,494"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$7,282,433"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$15,590,494"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$11,120,716"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$1,247,766"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,748,956"
"Area Cooperative Educational Services","=""2440014""","Property Services","$2,279,823"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$32,736"
"Area Cooperative Educational Services","=""2440014""","Equipment","$1,158,262"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$7,166"
"Area Cooperative Educational Services","=""2440014""","Total","$49,985,846"
"Ashford School District","=""0030011""","Teacher Salaries","$550,360"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$411,857"
"Ashford School District","=""0030011""","Other Salaries","$190,324"
"Ashford School District","=""0030011""","Employee Benefits","$436,228"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$239,834"
"Ashford School District","=""0030011""","Special Education Tuition","$181,826"
"Ashford School District","=""0030011""","Supplies","$20,512"
"Ashford School District","=""0030011""","Property Services","$0"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$14,464"
"Ashford School District","=""0030011""","All Other Expenditures","$400"
"Ashford School District","=""0030011""","Total","$2,045,805"
"Avon School District","=""0040011""","Teacher Salaries","$4,804,013"
"Avon School District","=""0040011""","Instructional Aide Salaries","$1,849,710"
"Avon School District","=""0040011""","Other Salaries","$468,386"
"Avon School District","=""0040011""","Employee Benefits","$1,915,487"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$461,177"
"Avon School District","=""0040011""","Special Education Tuition","$3,055,321"
"Avon School District","=""0040011""","Supplies","$96,839"
"Avon School District","=""0040011""","Property Services","$0"
"Avon School District","=""0040011""","Purchased Services For Transportation","$614,294"
"Avon School District","=""0040011""","Equipment","$11,255"
"Avon School District","=""0040011""","All Other Expenditures","$870"
"Avon School District","=""0040011""","Total","$13,277,352"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$101,023"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$19,893"
"Barkhamsted School District","=""0050011""","Other Salaries","$0"
"Barkhamsted School District","=""0050011""","Employee Benefits","$0"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$736,599"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$205,496"
"Barkhamsted School District","=""0050011""","Supplies","$188"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$32,617"
"Barkhamsted School District","=""0050011""","Equipment","$89"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$90"
"Barkhamsted School District","=""0050011""","Total","$1,095,994"
"Berlin School District","=""0070011""","Teacher Salaries","$4,550,733"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$1,573,987"
"Berlin School District","=""0070011""","Other Salaries","$1,043,044"
"Berlin School District","=""0070011""","Employee Benefits","$1,464,661"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$500,125"
"Berlin School District","=""0070011""","Special Education Tuition","$2,478,001"
"Berlin School District","=""0070011""","Supplies","$47,252"
"Berlin School District","=""0070011""","Property Services","$0"
"Berlin School District","=""0070011""","Purchased Services For Transportation","$960,645"
"Berlin School District","=""0070011""","Equipment","$6,437"
"Berlin School District","=""0070011""","All Other Expenditures","$4,750"
"Berlin School District","=""0070011""","Total","$12,629,635"
"Bethany School District","=""0080011""","Teacher Salaries","$744,643"
"Bethany School District","=""0080011""","Instructional Aide Salaries","$378,061"
"Bethany School District","=""0080011""","Other Salaries","$230,070"
"Bethany School District","=""0080011""","Employee Benefits","$271,795"
"Bethany School District","=""0080011""","Purchased Services Other Than Transportation","$93,469"
"Bethany School District","=""0080011""","Special Education Tuition","$184,772"
"Bethany School District","=""0080011""","Supplies","$24,837"
"Bethany School District","=""0080011""","Property Services","$0"
"Bethany School District","=""0080011""","Purchased Services For Transportation","$0"
"Bethany School District","=""0080011""","Equipment","$12,262"
"Bethany School District","=""0080011""","All Other Expenditures","$112,449"
"Bethany School District","=""0080011""","Total","$2,052,357"
"Bethel School District","=""0090011""","Teacher Salaries","$3,364,652"
"Bethel School District","=""0090011""","Instructional Aide Salaries","$1,236,372"
"Bethel School District","=""0090011""","Other Salaries","$2,493,104"
"Bethel School District","=""0090011""","Employee Benefits","$2,034,012"
"Bethel School District","=""0090011""","Purchased Services Other Than Transportation","$424,390"
"Bethel School District","=""0090011""","Special Education Tuition","$1,321,575"
"Bethel School District","=""0090011""","Supplies","$41,897"
"Bethel School District","=""0090011""","Property Services","$205"
"Bethel School District","=""0090011""","Purchased Services For Transportation","$785,043"
"Bethel School District","=""0090011""","Equipment","$4,036"
"Bethel School District","=""0090011""","All Other Expenditures","$1,386"
"Bethel School District","=""0090011""","Total","$11,706,672"
"Bloomfield School District","=""0110011""","Teacher Salaries","$3,210,358"
"Bloomfield School District","=""0110011""","Instructional Aide Salaries","$1,196,567"
"Bloomfield School District","=""0110011""","Other Salaries","$1,034,322"
"Bloomfield School District","=""0110011""","Employee Benefits","$1,397,166"
"Bloomfield School District","=""0110011""","Purchased Services Other Than Transportation","$573,532"
"Bloomfield School District","=""0110011""","Special Education Tuition","$3,572,389"
"Bloomfield School District","=""0110011""","Supplies","$30,225"
"Bloomfield School District","=""0110011""","Property Services","$0"
"Bloomfield School District","=""0110011""","Purchased Services For Transportation","$553,715"
"Bloomfield School District","=""0110011""","Equipment","$3,136"
"Bloomfield School District","=""0110011""","All Other Expenditures","$239"
"Bloomfield School District","=""0110011""","Total","$11,571,650"
"Bolton School District","=""0120011""","Teacher Salaries","$804,982"
"Bolton School District","=""0120011""","Instructional Aide Salaries","$418,937"
"Bolton School District","=""0120011""","Other Salaries","$276,595"
"Bolton School District","=""0120011""","Employee Benefits","$578,535"
"Bolton School District","=""0120011""","Purchased Services Other Than Transportation","$83,861"
"Bolton School District","=""0120011""","Special Education Tuition","$278,293"
"Bolton School District","=""0120011""","Supplies","$15,581"
"Bolton School District","=""0120011""","Property Services","$0"
"Bolton School District","=""0120011""","Purchased Services For Transportation","$31,930"
"Bolton School District","=""0120011""","Equipment","$6,400"
"Bolton School District","=""0120011""","All Other Expenditures","$440"
"Bolton School District","=""0120011""","Total","$2,495,555"
"Booker T. Washington Academy District","=""2950013""","Teacher Salaries","$99,705"
"Booker T. Washington Academy District","=""2950013""","Instructional Aide Salaries","$0"
"Booker T. Washington Academy District","=""2950013""","Other Salaries","$0"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$0"
"Booker T. Washington Academy District","=""2950013""","Purchased Services Other Than Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Special Education Tuition","$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$0"
"Booker T. Washington Academy District","=""2950013""","Property Services","$0"
"Booker T. Washington Academy District","=""2950013""","Purchased Services For Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Equipment","$0"
"Booker T. Washington Academy District","=""2950013""","All Other Expenditures","$0"
"Booker T. Washington Academy District","=""2950013""","Total","$99,705"
"Bozrah School District","=""0130011""","Teacher Salaries","$335,546"
"Bozrah School District","=""0130011""","Instructional Aide Salaries","$229,715"
"Bozrah School District","=""0130011""","Other Salaries","$204,899"
"Bozrah School District","=""0130011""","Employee Benefits","$157,062"
"Bozrah School District","=""0130011""","Purchased Services Other Than Transportation","$64,948"
"Bozrah School District","=""0130011""","Special Education Tuition","$922,582"
"Bozrah School District","=""0130011""","Supplies","$6,230"
"Bozrah School District","=""0130011""","Property Services","$0"
"Bozrah School District","=""0130011""","Purchased Services For Transportation","$105,219"
"Bozrah School District","=""0130011""","Equipment","$4,770"
"Bozrah School District","=""0130011""","All Other Expenditures","$1,389"
"Bozrah School District","=""0130011""","Total","$2,032,360"
"Branford School District","=""0140011""","Teacher Salaries","$4,014,913"
"Branford School District","=""0140011""","Instructional Aide Salaries","$1,547,133"
"Branford School District","=""0140011""","Other Salaries","$400,075"
"Branford School District","=""0140011""","Employee Benefits","$1,557,498"
"Branford School District","=""0140011""","Purchased Services Other Than Transportation","$525,317"
"Branford School District","=""0140011""","Special Education Tuition","$3,142,172"
"Branford School District","=""0140011""","Supplies","$58,232"
"Branford School District","=""0140011""","Property Services","$0"
"Branford School District","=""0140011""","Purchased Services For Transportation","$427,397"
"Branford School District","=""0140011""","Equipment","$7,909"
"Branford School District","=""0140011""","All Other Expenditures","$400"
"Branford School District","=""0140011""","Total","$11,681,045"
"Brass City Charter School District","=""2900013""","Teacher Salaries","$135,684"
"Brass City Charter School District","=""2900013""","Instructional Aide Salaries","$91,712"
"Brass City Charter School District","=""2900013""","Other Salaries","$0"
"Brass City Charter School District","=""2900013""","Employee Benefits","$36,383"
"Brass City Charter School District","=""2900013""","Purchased Services Other Than Transportation","$60,959"
"Brass City Charter School District","=""2900013""","Special Education Tuition","$0"
"Brass City Charter School District","=""2900013""","Supplies","$0"
"Brass City Charter School District","=""2900013""","Property Services","$0"
"Brass City Charter School District","=""2900013""","Purchased Services For Transportation","$0"
"Brass City Charter School District","=""2900013""","Equipment","$0"
"Brass City Charter School District","=""2900013""","All Other Expenditures","$0"
"Brass City Charter School District","=""2900013""","Total","$324,738"
"Bridgeport School District","=""0150011""","Teacher Salaries","$22,064,354"
"Bridgeport School District","=""0150011""","Instructional Aide Salaries","$10,411,219"
"Bridgeport School District","=""0150011""","Other Salaries","$3,152,044"
"Bridgeport School District","=""0150011""","Employee Benefits","$11,075,338"
"Bridgeport School District","=""0150011""","Purchased Services Other Than Transportation","$3,943,352"
"Bridgeport School District","=""0150011""","Special Education Tuition","$27,066,202"
"Bridgeport School District","=""0150011""","Supplies","$90,772"
"Bridgeport School District","=""0150011""","Property Services","$219,417"
"Bridgeport School District","=""0150011""","Purchased Services For Transportation","$12,084,682"
"Bridgeport School District","=""0150011""","Equipment","$5,176"
"Bridgeport School District","=""0150011""","All Other Expenditures","$0"
"Bridgeport School District","=""0150011""","Total","$90,112,557"
"Bristol School District","=""0170011""","Teacher Salaries","$10,062,189"
"Bristol School District","=""0170011""","Instructional Aide Salaries","$3,044,311"
"Bristol School District","=""0170011""","Other Salaries","$2,275,968"
"Bristol School District","=""0170011""","Employee Benefits","$4,859,858"
"Bristol School District","=""0170011""","Purchased Services Other Than Transportation","$1,312,796"
"Bristol School District","=""0170011""","Special Education Tuition","$15,182,855"
"Bristol School District","=""0170011""","Supplies","$64,049"
"Bristol School District","=""0170011""","Property Services","$12,231"
"Bristol School District","=""0170011""","Purchased Services For Transportation","$3,754,187"
"Bristol School District","=""0170011""","Equipment","$16,095"
"Bristol School District","=""0170011""","All Other Expenditures","$1,496"
"Bristol School District","=""0170011""","Total","$40,586,035"
"Brookfield School District","=""0180011""","Teacher Salaries","$3,644,455"
"Brookfield School District","=""0180011""","Instructional Aide Salaries","$1,674,475"
"Brookfield School District","=""0180011""","Other Salaries","$893,935"
"Brookfield School District","=""0180011""","Employee Benefits","$1,741,055"
"Brookfield School District","=""0180011""","Purchased Services Other Than Transportation","$696,066"
"Brookfield School District","=""0180011""","Special Education Tuition","$2,354,555"
"Brookfield School District","=""0180011""","Supplies","$62,381"
"Brookfield School District","=""0180011""","Property Services","$931"
"Brookfield School District","=""0180011""","Purchased Services For Transportation","$716,926"
"Brookfield School District","=""0180011""","Equipment","$644"
"Brookfield School District","=""0180011""","All Other Expenditures","$2,018"
"Brookfield School District","=""0180011""","Total","$11,787,442"
"Brooklyn School District","=""0190011""","Teacher Salaries","$1,058,540"
"Brooklyn School District","=""0190011""","Instructional Aide Salaries","$920,708"
"Brooklyn School District","=""0190011""","Other Salaries","$413,908"
"Brooklyn School District","=""0190011""","Employee Benefits","$733,181"
"Brooklyn School District","=""0190011""","Purchased Services Other Than Transportation","$124,695"
"Brooklyn School District","=""0190011""","Special Education Tuition","$2,134,911"
"Brooklyn School District","=""0190011""","Supplies","$41,600"
"Brooklyn School District","=""0190011""","Property Services","$0"
"Brooklyn School District","=""0190011""","Purchased Services For Transportation","$158,331"
"Brooklyn School District","=""0190011""","Equipment","$273"
"Brooklyn School District","=""0190011""","All Other Expenditures","$3,086"
"Brooklyn School District","=""0190011""","Total","$5,589,233"
"Canaan School District","=""0210011""","Teacher Salaries","$153,212"
"Canaan School District","=""0210011""","Instructional Aide Salaries","$18,146"
"Canaan School District","=""0210011""","Other Salaries","$42,326"
"Canaan School District","=""0210011""","Employee Benefits","$67,169"
"Canaan School District","=""0210011""","Purchased Services Other Than Transportation","$31,031"
"Canaan School District","=""0210011""","Special Education Tuition","$0"
"Canaan School District","=""0210011""","Supplies","$2,488"
"Canaan School District","=""0210011""","Property Services","$0"
"Canaan School District","=""0210011""","Purchased Services For Transportation","$19,928"
"Canaan School District","=""0210011""","Equipment","$663"
"Canaan School District","=""0210011""","All Other Expenditures","$0"
"Canaan School District","=""0210011""","Total","$334,963"
"Canterbury School District","=""0220011""","Teacher Salaries","$523,336"
"Canterbury School District","=""0220011""","Instructional Aide Salaries","$359,806"
"Canterbury School District","=""0220011""","Other Salaries","$215,722"
"Canterbury School District","=""0220011""","Employee Benefits","$281,430"
"Canterbury School District","=""0220011""","Purchased Services Other Than Transportation","$178,339"
"Canterbury School District","=""0220011""","Special Education Tuition","$1,028,066"
"Canterbury School District","=""0220011""","Supplies","$10,405"
"Canterbury School District","=""0220011""","Property Services","$284"
"Canterbury School District","=""0220011""","Purchased Services For Transportation","$7,383"
"Canterbury School District","=""0220011""","Equipment","$11,563"
"Canterbury School District","=""0220011""","All Other Expenditures","$60"
"Canterbury School District","=""0220011""","Total","$2,616,395"
"Canton School District","=""0230011""","Teacher Salaries","$2,181,007"
"Canton School District","=""0230011""","Instructional Aide Salaries","$790,793"
"Canton School District","=""0230011""","Other Salaries","$247,688"
"Canton School District","=""0230011""","Employee Benefits","$927,808"
"Canton School District","=""0230011""","Purchased Services Other Than Transportation","$392,365"
"Canton School District","=""0230011""","Special Education Tuition","$1,809,153"
"Canton School District","=""0230011""","Supplies","$34,889"
"Canton School District","=""0230011""","Property Services","$0"
"Canton School District","=""0230011""","Purchased Services For Transportation","$423,351"
"Canton School District","=""0230011""","Equipment","$715"
"Canton School District","=""0230011""","All Other Expenditures","$1,613"
"Canton School District","=""0230011""","Total","$6,809,381"
"Capital Preparatory Harbor School District","=""2970013""","Teacher Salaries","$719,998"
"Capital Preparatory Harbor School District","=""2970013""","Instructional Aide Salaries","$44,592"
"Capital Preparatory Harbor School District","=""2970013""","Other Salaries","$0"
"Capital Preparatory Harbor School District","=""2970013""","Employee Benefits","$0"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services Other Than Transportation","$0"
"Capital Preparatory Harbor School District","=""2970013""","Special Education Tuition","$0"
"Capital Preparatory Harbor School District","=""2970013""","Supplies","$0"
"Capital Preparatory Harbor School District","=""2970013""","Property Services","$0"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services For Transportation","$51,300"
"Capital Preparatory Harbor School District","=""2970013""","Equipment","$0"
"Capital Preparatory Harbor School District","=""2970013""","All Other Expenditures","$0"
"Capital Preparatory Harbor School District","=""2970013""","Total","$815,890"
"Capitol Region Education Council","=""2410014""","Teacher Salaries","$23,095,669"
"Capitol Region Education Council","=""2410014""","Instructional Aide Salaries","$10,730,790"
"Capitol Region Education Council","=""2410014""","Other Salaries","$4,889,773"
"Capitol Region Education Council","=""2410014""","Employee Benefits","$10,750,945"
"Capitol Region Education Council","=""2410014""","Purchased Services Other Than Transportation","$7,807,737"
"Capitol Region Education Council","=""2410014""","Special Education Tuition","$0"
"Capitol Region Education Council","=""2410014""","Supplies","$955,407"
"Capitol Region Education Council","=""2410014""","Property Services","$2,776,440"
"Capitol Region Education Council","=""2410014""","Purchased Services For Transportation","$0"
"Capitol Region Education Council","=""2410014""","Equipment","$130,180"
"Capitol Region Education Council","=""2410014""","All Other Expenditures","$9,777"
"Capitol Region Education Council","=""2410014""","Total","$61,146,718"
"Chaplin School District","=""0240011""","Teacher Salaries","$369,886"
"Chaplin School District","=""0240011""","Instructional Aide Salaries","$106,445"
"Chaplin School District","=""0240011""","Other Salaries","$0"
"Chaplin School District","=""0240011""","Employee Benefits","$26,487"
"Chaplin School District","=""0240011""","Purchased Services Other Than Transportation","$153,956"
"Chaplin School District","=""0240011""","Special Education Tuition","$116,763"
"Chaplin School District","=""0240011""","Supplies","$58,502"
"Chaplin School District","=""0240011""","Property Services","$0"
"Chaplin School District","=""0240011""","Purchased Services For Transportation","$12,880"
"Chaplin School District","=""0240011""","Equipment","$8,624"
"Chaplin School District","=""0240011""","All Other Expenditures","$8,057"
"Chaplin School District","=""0240011""","Total","$861,600"
"Cheshire School District","=""0250011""","Teacher Salaries","$7,164,688"
"Cheshire School District","=""0250011""","Instructional Aide Salaries","$2,480,820"
"Cheshire School District","=""0250011""","Other Salaries","$2,097,648"
"Cheshire School District","=""0250011""","Employee Benefits","$3,120,009"
"Cheshire School District","=""0250011""","Purchased Services Other Than Transportation","$664,576"
"Cheshire School District","=""0250011""","Special Education Tuition","$1,933,820"
"Cheshire School District","=""0250011""","Supplies","$224,536"
"Cheshire School District","=""0250011""","Property Services","$46,983"
"Cheshire School District","=""0250011""","Purchased Services For Transportation","$694,739"
"Cheshire School District","=""0250011""","Equipment","$0"
"Cheshire School District","=""0250011""","All Other Expenditures","$1,000"
"Cheshire School District","=""0250011""","Total","$18,428,819"
"Chester School District","=""0260011""","Teacher Salaries","$263,609"
"Chester School District","=""0260011""","Instructional Aide Salaries","$263,714"
"Chester School District","=""0260011""","Other Salaries","$63,510"
"Chester School District","=""0260011""","Employee Benefits","$123,333"
"Chester School District","=""0260011""","Purchased Services Other Than Transportation","$2,885"
"Chester School District","=""0260011""","Special Education Tuition","$12,479"
"Chester School District","=""0260011""","Supplies","$7,121"
"Chester School District","=""0260011""","Property Services","$59"
"Chester School District","=""0260011""","Purchased Services For Transportation","$33,908"
"Chester School District","=""0260011""","Equipment","$0"
"Chester School District","=""0260011""","All Other Expenditures","$0"
"Chester School District","=""0260011""","Total","$770,618"
"Clinton School District","=""0270011""","Teacher Salaries","$3,072,657"
"Clinton School District","=""0270011""","Instructional Aide Salaries","$1,187,511"
"Clinton School District","=""0270011""","Other Salaries","$358,389"
"Clinton School District","=""0270011""","Employee Benefits","$1,136,483"
"Clinton School District","=""0270011""","Purchased Services Other Than Transportation","$288,520"
"Clinton School District","=""0270011""","Special Education Tuition","$1,634,922"
"Clinton School District","=""0270011""","Supplies","$36,250"
"Clinton School District","=""0270011""","Property Services","$0"
"Clinton School District","=""0270011""","Purchased Services For Transportation","$670,936"
"Clinton School District","=""0270011""","Equipment","$0"
"Clinton School District","=""0270011""","All Other Expenditures","$850"
"Clinton School District","=""0270011""","Total","$8,386,519"
"Colchester School District","=""0280011""","Teacher Salaries","$3,820,917"
"Colchester School District","=""0280011""","Instructional Aide Salaries","$1,502,931"
"Colchester School District","=""0280011""","Other Salaries","$406,710"
"Colchester School District","=""0280011""","Employee Benefits","$1,334,097"
"Colchester School District","=""0280011""","Purchased Services Other Than Transportation","$517,593"
"Colchester School District","=""0280011""","Special Education Tuition","$1,854,242"
"Colchester School District","=""0280011""","Supplies","$30,878"
"Colchester School District","=""0280011""","Property Services","$21,228"
"Colchester School District","=""0280011""","Purchased Services For Transportation","$741,519"
"Colchester School District","=""0280011""","Equipment","$0"
"Colchester School District","=""0280011""","All Other Expenditures","$1,167"
"Colchester School District","=""0280011""","Total","$10,231,281"
"Colebrook School District","=""0290011""","Teacher Salaries","$60,073"
"Colebrook School District","=""0290011""","Instructional Aide Salaries","$33,930"
"Colebrook School District","=""0290011""","Other Salaries","$0"
"Colebrook School District","=""0290011""","Employee Benefits","$3,467"
"Colebrook School District","=""0290011""","Purchased Services Other Than Transportation","$281,695"
"Colebrook School District","=""0290011""","Special Education Tuition","$0"
"Colebrook School District","=""0290011""","Supplies","$441"
"Colebrook School District","=""0290011""","Property Services","$0"
"Colebrook School District","=""0290011""","Purchased Services For Transportation","$33,447"
"Colebrook School District","=""0290011""","Equipment","$0"
"Colebrook School District","=""0290011""","All Other Expenditures","$27,481"
"Colebrook School District","=""0290011""","Total","$440,533"
"Columbia School District","=""0300011""","Teacher Salaries","$920,984"
"Columbia School District","=""0300011""","Instructional Aide Salaries","$282,950"
"Columbia School District","=""0300011""","Other Salaries","$276,266"
"Columbia School District","=""0300011""","Employee Benefits","$436,364"
"Columbia School District","=""0300011""","Purchased Services Other Than Transportation","$124,579"
"Columbia School District","=""0300011""","Special Education Tuition","$769,398"
"Columbia School District","=""0300011""","Supplies","$14,265"
"Columbia School District","=""0300011""","Property Services","$0"
"Columbia School District","=""0300011""","Purchased Services For Transportation","$107,424"
"Columbia School District","=""0300011""","Equipment","$6,165"
"Columbia School District","=""0300011""","All Other Expenditures","$250"
"Columbia School District","=""0300011""","Total","$2,938,645"
"Common Ground High School District","=""2680013""","Teacher Salaries","$412,092"
"Common Ground High School District","=""2680013""","Instructional Aide Salaries","$115,491"
"Common Ground High School District","=""2680013""","Other Salaries","$62,645"
"Common Ground High School District","=""2680013""","Employee Benefits","$86,623"
"Common Ground High School District","=""2680013""","Purchased Services Other Than Transportation","$5,669"
"Common Ground High School District","=""2680013""","Special Education Tuition","$0"
"Common Ground High School District","=""2680013""","Supplies","$32,215"
"Common Ground High School District","=""2680013""","Property Services","$0"
"Common Ground High School District","=""2680013""","Purchased Services For Transportation","$0"
"Common Ground High School District","=""2680013""","Equipment","$0"
"Common Ground High School District","=""2680013""","All Other Expenditures","$0"
"Common Ground High School District","=""2680013""","Total","$714,736"
"Connecticut Technical Education and Career System","=""9000016""","Teacher Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Instructional Aide Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Other Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Employee Benefits","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services Other Than Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Special Education Tuition","$0"
"Connecticut Technical Education and Career System","=""9000016""","Supplies","$0"
"Connecticut Technical Education and Career System","=""9000016""","Property Services","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services For Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Equipment","$0"
"Connecticut Technical Education and Career System","=""9000016""","All Other Expenditures","$0"
"Connecticut Technical Education and Career System","=""9000016""","Total","$0"
"Cooperative Educational Services","=""2430014""","Teacher Salaries","$7,135,591"
"Cooperative Educational Services","=""2430014""","Instructional Aide Salaries","$4,947,271"
"Cooperative Educational Services","=""2430014""","Other Salaries","$3,039,071"
"Cooperative Educational Services","=""2430014""","Employee Benefits","$3,710,332"
"Cooperative Educational Services","=""2430014""","Purchased Services Other Than Transportation","$3,239,464"
"Cooperative Educational Services","=""2430014""","Special Education Tuition","$0"
"Cooperative Educational Services","=""2430014""","Supplies","$290,453"
"Cooperative Educational Services","=""2430014""","Property Services","$547,929"
"Cooperative Educational Services","=""2430014""","Purchased Services For Transportation","$0"
"Cooperative Educational Services","=""2430014""","Equipment","$114,559"
"Cooperative Educational Services","=""2430014""","All Other Expenditures","$350"
"Cooperative Educational Services","=""2430014""","Total","$23,025,020"
"Cornwall School District","=""0310011""","Teacher Salaries","$187,923"
"Cornwall School District","=""0310011""","Instructional Aide Salaries","$52,497"
"Cornwall School District","=""0310011""","Other Salaries","$21,030"
