"Special Education Expenditures, 2019-20"
"All Districts"

"District","District Code","Description","Amount"
"Booker T. Washington Academy District","=""2950013""","Instructional Aide Salaries","$0"
"Booker T. Washington Academy District","=""2950013""","Other Salaries","$0"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$11,864"
"Booker T. Washington Academy District","=""2950013""","Purchased Services Other Than Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Special Education Tuition","$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$18,683"
"Booker T. Washington Academy District","=""2950013""","Property Services","$0"
"Booker T. Washington Academy District","=""2950013""","Purchased Services For Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Equipment","$0"
"Booker T. Washington Academy District","=""2950013""","All Other Expenditures","$0"
"Booker T. Washington Academy District","=""2950013""","Total","$78,003"
"Bozrah School District","=""0130011""","Teacher Salaries","$332,458"
"Bozrah School District","=""0130011""","Instructional Aide Salaries","$217,002"
"Bozrah School District","=""0130011""","Other Salaries","$245,685"
"Bozrah School District","=""0130011""","Employee Benefits","$148,613"
"Bozrah School District","=""0130011""","Purchased Services Other Than Transportation","$62,128"
"Bozrah School District","=""0130011""","Special Education Tuition","$749,460"
"Bozrah School District","=""0130011""","Supplies","$3,663"
"Bozrah School District","=""0130011""","Property Services","$0"
"Bozrah School District","=""0130011""","Purchased Services For Transportation","$82,604"
"Bozrah School District","=""0130011""","Equipment","$5,508"
"Bozrah School District","=""0130011""","All Other Expenditures","$240"
"Bozrah School District","=""0130011""","Total","$1,847,361"
"Branford School District","=""0140011""","Teacher Salaries","$4,220,615"
"Branford School District","=""0140011""","Instructional Aide Salaries","$1,713,305"
"Branford School District","=""0140011""","Other Salaries","$404,137"
"Branford School District","=""0140011""","Employee Benefits","$1,937,789"
"Branford School District","=""0140011""","Purchased Services Other Than Transportation","$603,001"
"Branford School District","=""0140011""","Special Education Tuition","$2,599,497"
"Branford School District","=""0140011""","Supplies","$69,546"
"Branford School District","=""0140011""","Property Services","$0"
"Branford School District","=""0140011""","Purchased Services For Transportation","$533,292"
"Branford School District","=""0140011""","Equipment","$4,395"
"Branford School District","=""0140011""","All Other Expenditures","$680"
"Branford School District","=""0140011""","Total","$12,086,258"
"Brass City Charter School District","=""2900013""","Teacher Salaries","$64,335"
"Brass City Charter School District","=""2900013""","Instructional Aide Salaries","$68,876"
"Brass City Charter School District","=""2900013""","Other Salaries","$44,086"
"Brass City Charter School District","=""2900013""","Employee Benefits","$24,093"
"Brass City Charter School District","=""2900013""","Purchased Services Other Than Transportation","$0"
"Brass City Charter School District","=""2900013""","Special Education Tuition","$0"
"Brass City Charter School District","=""2900013""","Supplies","$540"
"Brass City Charter School District","=""2900013""","Property Services","$0"
"Brass City Charter School District","=""2900013""","Purchased Services For Transportation","$0"
"Brass City Charter School District","=""2900013""","Equipment","$400"
"Brass City Charter School District","=""2900013""","All Other Expenditures","$0"
"Brass City Charter School District","=""2900013""","Total","$202,330"
"Bridgeport School District","=""0150011""","Teacher Salaries","$22,923,301"
"Bridgeport School District","=""0150011""","Instructional Aide Salaries","$10,583,423"
"Bridgeport School District","=""0150011""","Other Salaries","$3,048,907"
"Bridgeport School District","=""0150011""","Employee Benefits","$10,336,372"
"Bridgeport School District","=""0150011""","Purchased Services Other Than Transportation","$3,594,835"
"Bridgeport School District","=""0150011""","Special Education Tuition","$27,741,655"
"Bridgeport School District","=""0150011""","Supplies","$110,574"
"Bridgeport School District","=""0150011""","Property Services","$135,084"
"Bridgeport School District","=""0150011""","Purchased Services For Transportation","$13,219,142"
"Bridgeport School District","=""0150011""","Equipment","$5,040"
"Bridgeport School District","=""0150011""","All Other Expenditures","$0"
"Bridgeport School District","=""0150011""","Total","$91,698,333"
"Bristol School District","=""0170011""","Teacher Salaries","$10,052,279"
"Bristol School District","=""0170011""","Instructional Aide Salaries","$3,764,920"
"Bristol School District","=""0170011""","Other Salaries","$1,836,077"
"Bristol School District","=""0170011""","Employee Benefits","$4,061,685"
"Bristol School District","=""0170011""","Purchased Services Other Than Transportation","$1,294,000"
"Bristol School District","=""0170011""","Special Education Tuition","$14,401,199"
"Bristol School District","=""0170011""","Supplies","$93,807"
"Bristol School District","=""0170011""","Property Services","$16,715"
"Bristol School District","=""0170011""","Purchased Services For Transportation","$4,227,528"
"Bristol School District","=""0170011""","Equipment","$13,154"
"Bristol School District","=""0170011""","All Other Expenditures","$3,556"
"Bristol School District","=""0170011""","Total","$39,764,920"
"Brookfield School District","=""0180011""","Teacher Salaries","$3,503,645"
"Brookfield School District","=""0180011""","Instructional Aide Salaries","$1,562,733"
"Brookfield School District","=""0180011""","Other Salaries","$858,382"
"Brookfield School District","=""0180011""","Employee Benefits","$1,561,188"
"Brookfield School District","=""0180011""","Purchased Services Other Than Transportation","$888,783"
"Brookfield School District","=""0180011""","Special Education Tuition","$2,171,036"
"Brookfield School District","=""0180011""","Supplies","$56,864"
"Brookfield School District","=""0180011""","Property Services","$906"
"Brookfield School District","=""0180011""","Purchased Services For Transportation","$720,463"
"Brookfield School District","=""0180011""","Equipment","$5,961"
"Brookfield School District","=""0180011""","All Other Expenditures","$3,410"
"Brookfield School District","=""0180011""","Total","$11,333,370"
"Brooklyn School District","=""0190011""","Teacher Salaries","$1,017,560"
"Brooklyn School District","=""0190011""","Instructional Aide Salaries","$1,034,986"
"Brooklyn School District","=""0190011""","Other Salaries","$293,934"
"Brooklyn School District","=""0190011""","Employee Benefits","$586,225"
"Brooklyn School District","=""0190011""","Purchased Services Other Than Transportation","$127,537"
"Brooklyn School District","=""0190011""","Special Education Tuition","$2,229,499"
"Brooklyn School District","=""0190011""","Supplies","$67,997"
"Brooklyn School District","=""0190011""","Property Services","$0"
"Brooklyn School District","=""0190011""","Purchased Services For Transportation","$282,177"
"Brooklyn School District","=""0190011""","Equipment","$0"
"Brooklyn School District","=""0190011""","All Other Expenditures","$36,505"
"Brooklyn School District","=""0190011""","Total","$5,676,419"
"Canaan School District","=""0210011""","Teacher Salaries","$142,613"
"Canaan School District","=""0210011""","Instructional Aide Salaries","$21,705"
"Canaan School District","=""0210011""","Other Salaries","$39,692"
"Canaan School District","=""0210011""","Employee Benefits","$66,758"
"Canaan School District","=""0210011""","Purchased Services Other Than Transportation","$11,907"
"Canaan School District","=""0210011""","Special Education Tuition","$0"
"Canaan School District","=""0210011""","Supplies","$1,113"
"Canaan School District","=""0210011""","Property Services","$0"
"Canaan School District","=""0210011""","Purchased Services For Transportation","$11,258"
"Canaan School District","=""0210011""","Equipment","$44"
"Canaan School District","=""0210011""","All Other Expenditures","$0"
"Canaan School District","=""0210011""","Total","$295,090"
"Canterbury School District","=""0220011""","Teacher Salaries","$576,770"
"Canterbury School District","=""0220011""","Instructional Aide Salaries","$372,811"
"Canterbury School District","=""0220011""","Other Salaries","$250,384"
"Canterbury School District","=""0220011""","Employee Benefits","$199,940"
"Canterbury School District","=""0220011""","Purchased Services Other Than Transportation","$199,145"
"Canterbury School District","=""0220011""","Special Education Tuition","$1,105,925"
"Canterbury School District","=""0220011""","Supplies","$10,378"
"Canterbury School District","=""0220011""","Property Services","$0"
"Canterbury School District","=""0220011""","Purchased Services For Transportation","$12,758"
"Canterbury School District","=""0220011""","Equipment","$13,877"
"Canterbury School District","=""0220011""","All Other Expenditures","$113"
"Canterbury School District","=""0220011""","Total","$2,742,100"
"Canton School District","=""0230011""","Teacher Salaries","$1,482,492"
"Canton School District","=""0230011""","Instructional Aide Salaries","$744,150"
"Canton School District","=""0230011""","Other Salaries","$961,523"
"Canton School District","=""0230011""","Employee Benefits","$882,829"
"Canton School District","=""0230011""","Purchased Services Other Than Transportation","$362,901"
"Canton School District","=""0230011""","Special Education Tuition","$1,195,301"
"Canton School District","=""0230011""","Supplies","$19,816"
"Canton School District","=""0230011""","Property Services","$0"
"Canton School District","=""0230011""","Purchased Services For Transportation","$508,073"
"Canton School District","=""0230011""","Equipment","$0"
"Canton School District","=""0230011""","All Other Expenditures","$530"
"Canton School District","=""0230011""","Total","$6,157,615"
"Capital Preparatory Harbor School District","=""2970013""","Teacher Salaries","$345,224"
"Capital Preparatory Harbor School District","=""2970013""","Instructional Aide Salaries","$32,768"
"Capital Preparatory Harbor School District","=""2970013""","Other Salaries","$0"
"Capital Preparatory Harbor School District","=""2970013""","Employee Benefits","$86,363"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services Other Than Transportation","$46,027"
"Capital Preparatory Harbor School District","=""2970013""","Special Education Tuition","$0"
"Capital Preparatory Harbor School District","=""2970013""","Supplies","$0"
"Capital Preparatory Harbor School District","=""2970013""","Property Services","$0"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services For Transportation","$41,970"
"Capital Preparatory Harbor School District","=""2970013""","Equipment","$0"
"Capital Preparatory Harbor School District","=""2970013""","All Other Expenditures","$0"
"Capital Preparatory Harbor School District","=""2970013""","Total","$552,353"
"Capitol Region Education Council","=""2410014""","Teacher Salaries","$22,282,490"
"Capitol Region Education Council","=""2410014""","Instructional Aide Salaries","$9,027,404"
"Capitol Region Education Council","=""2410014""","Other Salaries","$3,376,859"
"Capitol Region Education Council","=""2410014""","Employee Benefits","$9,982,730"
"Capitol Region Education Council","=""2410014""","Purchased Services Other Than Transportation","$3,989,858"
"Capitol Region Education Council","=""2410014""","Special Education Tuition","$0"
"Capitol Region Education Council","=""2410014""","Supplies","$636,458"
"Capitol Region Education Council","=""2410014""","Property Services","$1,253,839"
"Capitol Region Education Council","=""2410014""","Purchased Services For Transportation","$0"
"Capitol Region Education Council","=""2410014""","Equipment","$153,410"
"Capitol Region Education Council","=""2410014""","All Other Expenditures","$7,010"
"Capitol Region Education Council","=""2410014""","Total","$50,710,056"
"Chaplin School District","=""0240011""","Teacher Salaries","$347,352"
"Chaplin School District","=""0240011""","Instructional Aide Salaries","$119,310"
"Chaplin School District","=""0240011""","Other Salaries","$0"
"Chaplin School District","=""0240011""","Employee Benefits","$118,200"
"Chaplin School District","=""0240011""","Purchased Services Other Than Transportation","$133,516"
"Chaplin School District","=""0240011""","Special Education Tuition","$108,076"
"Chaplin School District","=""0240011""","Supplies","$10,381"
"Chaplin School District","=""0240011""","Property Services","$0"
"Chaplin School District","=""0240011""","Purchased Services For Transportation","$6,529"
"Chaplin School District","=""0240011""","Equipment","$1,311"
"Chaplin School District","=""0240011""","All Other Expenditures","$258"
"Chaplin School District","=""0240011""","Total","$844,932"
"Cheshire School District","=""0250011""","Teacher Salaries","$7,151,855"
"Cheshire School District","=""0250011""","Instructional Aide Salaries","$2,763,511"
"Cheshire School District","=""0250011""","Other Salaries","$2,223,094"
"Cheshire School District","=""0250011""","Employee Benefits","$2,701,962"
"Cheshire School District","=""0250011""","Purchased Services Other Than Transportation","$819,643"
"Cheshire School District","=""0250011""","Special Education Tuition","$1,950,192"
"Cheshire School District","=""0250011""","Supplies","$253,923"
"Cheshire School District","=""0250011""","Property Services","$32,763"
"Cheshire School District","=""0250011""","Purchased Services For Transportation","$847,913"
"Cheshire School District","=""0250011""","Equipment","$0"
"Cheshire School District","=""0250011""","All Other Expenditures","$830"
"Cheshire School District","=""0250011""","Total","$18,745,687"
"Chester School District","=""0260011""","Teacher Salaries","$203,114"
"Chester School District","=""0260011""","Instructional Aide Salaries","$255,343"
"Chester School District","=""0260011""","Other Salaries","$64,251"
"Chester School District","=""0260011""","Employee Benefits","$146,992"
"Chester School District","=""0260011""","Purchased Services Other Than Transportation","$2,363"
"Chester School District","=""0260011""","Special Education Tuition","$12,296"
"Chester School District","=""0260011""","Supplies","$4,971"
"Chester School District","=""0260011""","Property Services","$412"
"Chester School District","=""0260011""","Purchased Services For Transportation","$22,608"
"Chester School District","=""0260011""","Equipment","$0"
"Chester School District","=""0260011""","All Other Expenditures","$0"
"Chester School District","=""0260011""","Total","$712,350"
"Clinton School District","=""0270011""","Teacher Salaries","$2,973,240"
"Clinton School District","=""0270011""","Instructional Aide Salaries","$1,178,769"
"Clinton School District","=""0270011""","Other Salaries","$333,711"
"Clinton School District","=""0270011""","Employee Benefits","$1,173,164"
"Clinton School District","=""0270011""","Purchased Services Other Than Transportation","$320,902"
"Clinton School District","=""0270011""","Special Education Tuition","$1,415,564"
"Clinton School District","=""0270011""","Supplies","$27,744"
"Clinton School District","=""0270011""","Property Services","$0"
"Clinton School District","=""0270011""","Purchased Services For Transportation","$573,509"
"Clinton School District","=""0270011""","Equipment","$0"
"Clinton School District","=""0270011""","All Other Expenditures","$830"
"Clinton School District","=""0270011""","Total","$7,997,433"
"Colchester School District","=""0280011""","Teacher Salaries","$3,682,125"
"Colchester School District","=""0280011""","Instructional Aide Salaries","$1,551,727"
"Colchester School District","=""0280011""","Other Salaries","$390,282"
"Colchester School District","=""0280011""","Employee Benefits","$1,365,592"
"Colchester School District","=""0280011""","Purchased Services Other Than Transportation","$277,582"
"Colchester School District","=""0280011""","Special Education Tuition","$2,111,384"
"Colchester School District","=""0280011""","Supplies","$46,006"
"Colchester School District","=""0280011""","Property Services","$0"
"Colchester School District","=""0280011""","Purchased Services For Transportation","$939,587"
"Colchester School District","=""0280011""","Equipment","$0"
"Colchester School District","=""0280011""","All Other Expenditures","$738"
"Colchester School District","=""0280011""","Total","$10,365,022"
"Colebrook School District","=""0290011""","Teacher Salaries","$58,487"
"Colebrook School District","=""0290011""","Instructional Aide Salaries","$22,854"
"Colebrook School District","=""0290011""","Other Salaries","$0"
"Colebrook School District","=""0290011""","Employee Benefits","$2,600"
"Colebrook School District","=""0290011""","Purchased Services Other Than Transportation","$263,002"
"Colebrook School District","=""0290011""","Special Education Tuition","$0"
"Colebrook School District","=""0290011""","Supplies","$2,049"
"Colebrook School District","=""0290011""","Property Services","$0"
"Colebrook School District","=""0290011""","Purchased Services For Transportation","$21,851"
"Colebrook School District","=""0290011""","Equipment","$0"
"Colebrook School District","=""0290011""","All Other Expenditures","$28,474"
"Colebrook School District","=""0290011""","Total","$399,317"
"Columbia School District","=""0300011""","Teacher Salaries","$890,394"
"Columbia School District","=""0300011""","Instructional Aide Salaries","$332,307"
"Columbia School District","=""0300011""","Other Salaries","$241,197"
"Columbia School District","=""0300011""","Employee Benefits","$383,189"
"Columbia School District","=""0300011""","Purchased Services Other Than Transportation","$81,254"
"Columbia School District","=""0300011""","Special Education Tuition","$710,647"
"Columbia School District","=""0300011""","Supplies","$6,888"
"Columbia School District","=""0300011""","Property Services","$0"
"Columbia School District","=""0300011""","Purchased Services For Transportation","$154,057"
"Columbia School District","=""0300011""","Equipment","$14,300"
"Columbia School District","=""0300011""","All Other Expenditures","$0"
"Columbia School District","=""0300011""","Total","$2,814,233"
"Common Ground High School District","=""2680013""","Teacher Salaries","$118,617"
"Common Ground High School District","=""2680013""","Instructional Aide Salaries","$182,642"
"Common Ground High School District","=""2680013""","Other Salaries","$0"
"Common Ground High School District","=""2680013""","Employee Benefits","$62,354"
"Common Ground High School District","=""2680013""","Purchased Services Other Than Transportation","$10,398"
"Common Ground High School District","=""2680013""","Special Education Tuition","$0"
"Common Ground High School District","=""2680013""","Supplies","$10,989"
"Common Ground High School District","=""2680013""","Property Services","$0"
"Common Ground High School District","=""2680013""","Purchased Services For Transportation","$0"
"Common Ground High School District","=""2680013""","Equipment","$0"
"Common Ground High School District","=""2680013""","All Other Expenditures","$0"
"Common Ground High School District","=""2680013""","Total","$385,000"
"Connecticut Technical Education and Career System","=""9000016""","Teacher Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Instructional Aide Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Other Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Employee Benefits","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services Other Than Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Special Education Tuition","$0"
"Connecticut Technical Education and Career System","=""9000016""","Supplies","$0"
"Connecticut Technical Education and Career System","=""9000016""","Property Services","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services For Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Equipment","$0"
"Connecticut Technical Education and Career System","=""9000016""","All Other Expenditures","$0"
"Connecticut Technical Education and Career System","=""9000016""","Total","$0"
"Cooperative Educational Services","=""2430014""","Teacher Salaries","$6,918,683"
"Cooperative Educational Services","=""2430014""","Instructional Aide Salaries","$5,243,581"
"Cooperative Educational Services","=""2430014""","Other Salaries","$2,878,084"
"Cooperative Educational Services","=""2430014""","Employee Benefits","$3,487,611"
"Cooperative Educational Services","=""2430014""","Purchased Services Other Than Transportation","$2,259,869"
"Cooperative Educational Services","=""2430014""","Special Education Tuition","$0"
"Cooperative Educational Services","=""2430014""","Supplies","$187,334"
"Cooperative Educational Services","=""2430014""","Property Services","$1,000,743"
"Cooperative Educational Services","=""2430014""","Purchased Services For Transportation","$0"
"Cooperative Educational Services","=""2430014""","Equipment","$120,994"
"Cooperative Educational Services","=""2430014""","All Other Expenditures","$0"
"Cooperative Educational Services","=""2430014""","Total","$22,096,898"
"Cornwall School District","=""0310011""","Teacher Salaries","$179,347"
"Cornwall School District","=""0310011""","Instructional Aide Salaries","$83,900"
"Cornwall School District","=""0310011""","Other Salaries","$18,548"
